No.,Title,Members,Status,Scope,Type,Upgraded,Upgraded Status,Year of Signature (Upgraded),Year of Enforcement/Termination (Upgraded),Trade in Goods,Year of Signature (Goods),Year of Enforcement/ Termination (Goods),WTO Notification  (Goods),WTO Notification Link,WTO Notification Year (Goods),WTO Consideration Process (Goods),SPS/TBT ,Anti-Dumping Duty, Safeguard,Trade in Services,Year of Signature (Services),Year of Enforcement/ Termination (Services),WTO Notification (Services),WTO Notification Year (Services),WTO Consideration Process (Services),Liberalization Approach (Services),Investment,Year of Signature (Investment),Year of Enforcement/ Termination  (Investment),Liberatlization approach (Investment),BIT (Source UNCTAD),Trade Facilitation & Customs Cooperation,Government Procurement,Competition Policy,Intellectual Property,Dispute Settlement,Temporary Movement of Natural Persons ,Sustainable Development Related Provisions,Sustainable Development by Concept,Labour protection,Human Rights,Gender,Health,Environment,SMEs,Technical Cooperation,Transparency,Financial Services,Telecommunications,E-commerce,"Online Consumer Protection 
(in E-commerce Chapter)","Personal Data Protection 
(in E-commerce Chapter)","Data flows 
(in E-commerce Chapter)",Link to website
1,Afghanistan-India,Afghanistan; India,Entry into Force,Bilateral,Partial Scope Agreement,No,No,No,No,Yes,2003,2003,2003,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=389,2010,Factual Presentation distributed,No,Yes,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://www.mea.gov.in/Portal/LegalTreatiesDoc/AF75B1675.pdf
2,Armenia-Belarus,Armenia; Belarus,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,N/A,N/A,N/A,No,No,No report ,N/A,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://www.worldtradelaw.net/document.php?id=fta/agreements/cisfta.pdf&mode=download
3,Armenia-Eurasian Economic Union (EAEU),Armenia; Armenia; Belarus; Kazakhstan; Kyrgyzstan; Russian Federation,Entry into Force,Country - Bloc,Customs Union & EIA,No,No,No,No,Yes,2014,2015,2015,https://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=910,2014,Factual Presentation not distributed  ,Yes,Yes,Yes,Yes,2014,2015,GATS Art. V,2014,Factual Presentation distributed,Negative,Yes,2014,2015,Negative,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,No,https://rtais.wto.org/UI/PublicShowMemberRTAIDCard.aspx?rtaid=910
4,Armenia-European Union (EU),Armenia; European Union (EU),Entry into Force,Country - Bloc,FTA & EIA,No,No,No,No,Yes,2017,2018,2018,http://rtais.wto.org/UI/CRShowRTAIDCard.aspx?rtaid=849,No,No report ,Yes,No,No,Yes,2017,2018,GATS Art. V,2019,Factual Presentation not distributed,Negative,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:22018A0126(01)&from=EM
5,Armenia-Georgia,Armenia; Georgia,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1995,1998,1998,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=82,2001,Factual Abstract distributed ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,In force,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://wits.worldbank.org/GPTAD/PDF/archive/Armenia-Georgia.pdf
6,Armenia-Kazakhstan,Armenia; Kazakhstan,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1999,2001,2001,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=50,2004,Factual Presentation not distributed  ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,https://wits.worldbank.org/GPTAD/PDF/archive/armenia-kazakhstan.pdf
7,Armenia-Kyrgyzstan,Armenia; Kyrgyzstan,Terminated,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1994,1995,1995,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=90,2000,Factual Abstract distributed ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,In force,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=90
8,Armenia-Republic of Moldova,Armenia; Republic of Moldova,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1993,1995,1995,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=49,2004,Factual Presentation distributed,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://wits.worldbank.org/GPTAD/PDF/archive/armenia-moldova.pdf
9,Armenia-Tajikistan,Armenia; Tajikistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1994,1994,1994,No,No,No report ,No,No,No,No,No,No,No notification,No,No report,No,No,No,No,No,Signed,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://cis-legislation.com/document.fwx?rgn=20971
10,Armenia-Turkmenistan,Armenia; Turkmenistan,Entry into Force,Bilateral,Free Trade Agreement,No,No,No,No,Yes,1995,1996,1996,http://rtais.wto.org/UI/PublicShowRTAIDCard.aspx?rtaid=47,2004,Factual Presentation not distributed  ,No,No,Yes,No,No,No,No notification,No,No report,No,No,No,No,No,Signed,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,http://docsonline.wto.org/imrd/gen_redirectsearchdirect.asp?RN=0&searchtype=browse&query=@meta_Symbol%22WT/REG175/1%22&language=1&ct=DDFEnglish
