source_system,report_year,period_type,reporter_code,reporter_name,partner_code,partner_name,hs_code,hs_description,trade_flow,trade_value_vnd_billion,trade_value_usd_million,quantity,quantity_unit,data_quality_flag,loaded_at
GSO,2022,Annual,VNM,Viet Nam,CHN,China,8517,Telephone sets and mobile phones,Export,215000,9200,42000000,Unit,OK,2023-03-15
GSO,2022,Annual,VNM,Viet Nam,USA,United States,8517,Telephone sets and mobile phones,Export,189000,8100,35000000,Unit,OK,2023-03-15
GSO,2022,Annual,VNM,Viet Nam,CHN,China,0306,Crustaceans,Export,10500,450,2200000,KG,OK,2023-03-15
GSO,2022,Annual,VNM,Viet Nam,JPN,Japan,0306,Crustaceans,Export,7450,320,950000,KG,OK,2023-03-15
GSO,2022,Annual,VNM,Viet Nam,CHN,China,1006,Rice,Export,19800,850,2400000000,KG,OK,2023-03-15
GSO,2022,Annual,VNM,Viet Nam,USA,United States,6403,Footwear,Export,28000,1200,55000000,Pair,OK,2023-03-15
GSO,2022,Annual,VNM,Viet Nam,CHN,China,8517,Telephone sets and mobile phones,Import,105000,4500,25000000,Unit,OK,2023-03-15
GSO,2021,Annual,VNM,Viet Nam,CHN,China,8517,Telephone sets and mobile phones,Export,198000,8500,40000000,Unit,OK,2022-04-10
GSO,2021,Annual,VNM,Viet Nam,KOR,Korea Rep.,2709,Petroleum oils crude,Import,74500,3200,,MT,OK,2022-04-10
GSO,2021,Annual,VNM,Viet Nam,JPN,Japan,0901,Coffee,Export,15200,650,320000000,KG,OK,2022-04-10
GSO,2020,Annual,VNM,Viet Nam,USA,United States,6403,Footwear,Export,25200,1080,50000000,Pair,OK,2021-05-20
GSO,2020,Annual,VNM,Viet Nam,CHN,China,4407,Wood sawn,Export,2800,120,,M3,ESTIMATED,2021-05-20
GSO,2019,Annual,VNM,Viet Nam,SGP,Singapore,4407,Wood sawn,Export,2600,112,,M3,OK,2020-06-01
GSO,2019,Annual,VNM,Viet Nam,DEU,Germany,8471,Computers and ADP equipment,Import,2200,95,420000,Unit,OK,2020-06-01
GSO,2018,Annual,VNM,Viet Nam,AUS,Australia,0306,Crustaceans,Export,2200,95,42000000,KG,OK,2019-04-25
GSO,2018,Annual,VNM,Viet Nam,THA,Thailand,1006,Rice,Import,1500,65,,KG,OK,2019-04-25
