Bilateral trade between Bosnia and Herzegovina and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on the Agency for Statistics of BiH statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina's imports have been reported by Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Bosnia and Herzegovina's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,Bosnia and Herzegovina's imports from world,,,,,,,,,,,,
,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04
'TOTAL,All products,7531,10862,10774,8779,9874,8387,5842,7324,8154,15504,10446,11347,,,,,,,,,,,,,,,1437128,1442950,1597075,1370192,1542593,1619901,1449936,1522735,1061156,1607108,1672312,1697957
'851713,Smartphones for wireless networks,1785,2474,2672,1066,3046,2163,1155,1385,1463,6500,2427,4271,,,,,,,,,,,,,,,7280,7312,8097,6522,7725,9490,8425,9225,8440,15533,9658,9412
'090111,Coffee (excl. roasted and decaffeinated),821,275,370,450,312,758,874,252,1215,501,468,873,,,,,,,,,,,,,,,8836,8007,9059,8729,9685,9958,8802,9833,5932,9000,10247,8209
'640299,Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...,393,1088,959,968,377,207,336,702,553,698,685,695,,,,,,,,,,,,,,,2373,3529,4273,3133,1839,972,980,2261,2592,3601,3723,3252
'640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",419,312,566,765,387,319,106,694,587,981,931,522,,,,,,,,,,,,,,,935,1011,1422,1552,914,738,260,1352,1310,2136,2146,1061
'640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",361,1006,1043,737,565,433,284,661,617,841,881,467,,,,,,,,,,,,,,,1715,2938,3746,3193,3286,1974,1188,2553,2600,4197,5024,2664
'640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ...,113,398,770,517,480,485,121,266,651,687,414,336,,,,,,,,,,,,,,,1059,1516,2430,2196,2503,2474,1276,1484,2110,2899,2533,2008
'844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excl. of ...",29,155,91,20,32,116,43,150,19,53,35,249,,,,,,,,,,,,,,,971,1228,942,3260,902,1277,977,1318,547,1171,1271,1209
'080132,"Fresh or dried cashew nuts, shelled",276,491,201,354,228,143,168,126,168,166,183,226,,,,,,,,,,,,,,,308,498,203,358,234,146,282,131,178,178,248,342
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",316,271,361,383,330,145,158,176,171,449,366,214,,,,,,,,,,,,,,,3315,3554,3675,2725,3563,3238,2783,6892,2131,3622,5266,4842
