Bilateral trade between Cambodia and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on General Department of Customs and Excise of Cambodia statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia's exports have been reported by Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Cambodia's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Cambodia's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,522357,253784,149843,238041,315873,192350,202532,251565,335419,337544,288415,618909,,,,,,,,,,,,,,,2286920,2679376,2711446,2995292,3109667,2447742,2624110,2466025,2912982,3004838,2341187,2907018
'080131,"Fresh or dried cashew nuts, in shell",335058,109746,11114,17831,17376,10159,5983,233,0,645,46472,309719,,,,,,,,,,,,,,,336064,110538,11133,17831,17376,10329,6078,234,0,645,46472,309719
'100610,"Rice in the husk, ""paddy"" or rough",65723,11234,6722,64456,140863,48152,25181,87329,94827,35618,41970,115196,,,,,,,,,,,,,,,65723,11234,6722,64456,140863,48152,25181,87329,94827,35618,41970,115196
'071410,"Fresh, chilled, frozen or dried roots and tubers of manioc ""cassava"", whether or not sliced ...",26932,24008,18338,21262,19655,13679,24805,26566,66225,146702,107909,70180,,,,,,,,,,,,,,,50034,38460,24940,25695,22855,13679,27516,26567,68047,158253,121179,87121
'250590,"Natural sands of all kinds, whether or not coloured (excl. silica sands, quartz sands, gold- ...",26796,27521,28075,28716,29451,26405,31963,36485,45827,41221,19255,37598,,,,,,,,,,,,,,,26796,27521,28075,28716,29451,26405,31963,36485,45827,41221,19255,37598
'080450,"Fresh or dried guavas, mangoes and mangosteens",11909,7814,341,0,719,1791,4069,4638,6546,8760,9096,16668,,,,,,,,,,,,,,,20933,16123,2867,1976,3852,3659,7781,7874,9761,12421,12439,22890
'400122,"Technically specified natural rubber ""TSNR""",13407,27728,24534,28554,31372,22708,39457,35882,44834,38847,21652,15626,,,,,,,,,,,,,,,13593,28363,25093,29434,32485,25407,41434,43418,50171,41204,22073,17231
'400129,"Natural rubber in primary forms or in plates, sheets or strip (excl. smoked sheets, technically ...",3840,7063,11589,15718,16637,15304,15435,14294,18764,11545,7035,7702,,,,,,,,,,,,,,,4130,8018,12967,18580,17979,16350,17579,15394,19195,12292,7675,8555
'410712,"Grain splits leather ""incl. parchment-dressed leather"", of the whole hides and skins of bovine ...",3909,5083,4155,3977,4913,4462,6163,3480,4254,5337,2596,5145,,,,,,,,,,,,,,,3909,5092,4166,3977,4913,4542,6163,3480,4261,5428,2641,5286
'090411,"Pepper of the genus Piper, neither crushed nor ground",3830,341,6708,2201,2878,379,778,315,428,1253,1561,4232,,,,,,,,,,,,,,,5489,1630,7479,3719,3887,753,1515,615,1090,1920,2469,4788
'010229,Live cattle (excl. pure-bred for breeding),0,0,0,0,0,0,0,0,0,1458,2763,2889,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1458,2763,2889
'400510,"Rubber, unvulcanised, compounded with carbon black or silica, in primary forms or in plates, ...",0,348,304,400,497,1203,1238,1406,1053,2181,1298,2581,,,,,,,,,,,,,,,0,348,304,1277,2566,2018,1685,1876,3354,6421,7656,9479
'080299,"Nuts, fresh or dried, whether or not shelled or peeled (excl. coconuts, Brazil nuts, cashew ...",244,2677,2573,5334,2397,2036,1618,1944,1776,635,412,2296,,,,,,,,,,,,,,,244,2677,2573,5334,2397,2036,1618,1944,1776,635,412,2296
'260111,Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites),0,0,0,0,852,1551,2079,471,4231,3960,1339,2273,,,,,,,,,,,,,,,0,0,0,0,933,1738,2874,471,4231,5250,1549,2384
'710231,"Non-industrial diamonds unworked or simply sawn, cleaved or bruted (excl. industrial diamonds)",3210,3527,2748,3286,0,3935,3047,3856,2483,1268,2713,1806,,,,,,,,,,,,,,,3435,3527,3255,3286,0,4500,3047,3865,2857,2664,3305,3059
'170114,"Raw cane sugar, in solid form, not containing added flavouring or colouring matter (excl. cane ...",1464,743,0,0,0,0,0,0,3140,4620,620,1620,,,,,,,,,,,,,,,1464,743,0,0,0,0,0,0,3140,4620,620,1620
'400280,"Mixtures of natural rubber, balata, gutta-percha, guayule, chicle or similar types of natural ...",3923,2866,4306,9811,11073,11642,5132,8943,11105,6709,4574,1560,,,,,,,,,,,,,,,3923,2866,4306,9811,11073,11642,5132,8943,11105,6709,4574,1560
'760429,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",0,0,0,0,0,0,288,360,361,463,371,949,,,,,,,,,,,,,,,81,0,0,0,886,1345,1008,1195,1239,1641,3733,4124
'640690,"Parts of footwear; removable in-soles, heel cushions and similar articles; gaiters, leggings ...",844,678,552,684,625,550,809,585,917,780,681,938,,,,,,,,,,,,,,,1758,1464,1159,1603,1352,1232,1752,1192,1493,1120,1340,1764
'600622,"Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excl. warp knit fabrics ""incl. ...",485,449,748,334,372,1170,966,184,580,619,683,900,,,,,,,,,,,,,,,899,861,941,631,635,1593,1112,801,750,802,842,1713
'170199,"Cane or beet sugar and chemically pure sucrose, in solid form (excl. cane and beet sugar containing ...",712,1761,1302,3031,4169,3072,5631,2451,2867,1107,258,785,,,,,,,,,,,,,,,712,1761,1315,3031,4169,3072,5631,2451,2867,1107,258,785
'680293,"Granite, in any form, polished, decorated or otherwise worked (excl. tiles, cubes and similar ...",332,441,387,736,690,448,538,494,666,626,178,745,,,,,,,,,,,,,,,2459,2996,2173,2128,1963,1657,2017,2327,2719,2456,753,2116
'170310,Cane molasses resulting from the extraction or refining of sugar,966,325,0,0,106,76,76,0,0,579,440,701,,,,,,,,,,,,,,,966,325,0,0,106,76,76,0,0,579,440,701
'600410,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...",148,83,1,22,8,1,263,13,805,422,11,699,,,,,,,,,,,,,,,189,185,26,22,8,27,295,79,860,456,50,734
'611120,"Babies' garments and clothing accessories of cotton, knitted or crocheted (excl. hats)",1167,767,265,239,146,488,794,63,127,167,471,692,,,,,,,,,,,,,,,25730,23649,20289,21857,19317,13452,26212,14908,15572,19853,16628,13908
'400121,Smoked sheets of natural rubber,726,428,499,358,1578,510,199,197,832,365,707,675,,,,,,,,,,,,,,,2492,2224,1698,3123,2540,2028,1582,2121,2176,4151,4145,2413
'610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excl. cotton)",623,378,1228,2274,2082,1614,1117,459,535,754,583,574,,,,,,,,,,,,,,,35609,40349,38097,36980,42720,36250,42341,38093,43836,59336,49733,50103
'121293,"Sugar cane, fresh, chilled, frozen or dried, whether or not ground",0,0,0,0,0,0,0,0,419,388,296,561,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,419,388,296,561
'392330,"Carboys, bottles, flasks and similar articles for the conveyance or packaging of goods, of ...",221,550,41,577,205,344,811,213,297,489,599,534,,,,,,,,,,,,,,,316,806,355,823,426,551,1540,409,797,1225,764,1017
'851779,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",30,115,70,723,833,530,795,737,567,381,380,493,,,,,,,,,,,,,,,3229,2420,1807,5650,4252,4990,5376,4224,4550,2933,3659,2981
'282580,Antimony oxides,0,0,0,0,0,0,0,0,0,0,0,477,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,477
'401110,"New pneumatic tyres, of rubber, of a kind used for motor cars, incl. station wagons and racing ...",32,94,41,31,27,20,337,285,140,241,97,430,,,,,,,,,,,,,,,58640,65731,59862,62745,61404,58581,64073,78444,103316,103345,87548,118124
'732690,"Articles of iron or steel, n.e.s. (excl. cast articles or articles of iron or steel wire)",186,300,205,194,137,197,251,315,306,256,145,423,,,,,,,,,,,,,,,2042,2232,2287,4938,5260,4161,4429,4421,5292,6495,3568,5532
'611430,"Special garments for professional, sporting or other purposes, n.e.s., of man-made fibres, ...",189,138,661,1102,982,582,363,252,227,388,349,360,,,,,,,,,,,,,,,3998,8497,11460,10571,11534,7726,10473,10779,9966,9739,8048,9751
'850440,Static converters,352,195,306,582,392,145,446,227,605,371,293,349,,,,,,,,,,,,,,,3242,5674,5048,5743,4393,3593,3644,5751,6130,6423,4622,4483
'080390,Fresh or dried bananas (excl. plantains),6,39,39,6,0,97,816,965,1551,604,496,348,,,,,,,,,,,,,,,13778,20410,12491,11144,15593,16872,14916,15220,15441,14530,11126,22483
'911190,"Parts of cases for wrist-watches, pocket-watches and other watches of heading 9101 or 9102, ...",280,310,312,356,320,277,240,391,380,359,397,346,,,,,,,,,,,,,,,280,310,312,356,320,277,240,391,380,359,397,346
'210220,Inactive yeasts; other dead single-cell micro-organisms (excl. packaged as medicaments),326,325,355,293,206,221,316,285,284,287,253,327,,,,,,,,,,,,,,,326,325,355,293,206,221,316,285,284,287,253,327
