Bilateral trade between Chile and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Dirección Nacional de Aduanas statistics since January, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               ITC calculations based on Legal Publishing, Official Publisher of National Customs Service statistics until January, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile's imports have been reported by Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Chile's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,Chile's imports from world,,,,,,,,,,,,
,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05
'TOTAL,All products,99471,136542,117761,168166,244965,204530,112662,99955,115314,133691,124630,125464,,,,,,,,,,,,,,,7115121,8513421,7104015,7676031,8215885,6701615,7604567,6783555,6433252,7396252,7867011,7174377
'851713,Smartphones for wireless networks,27098,37721,44357,37224,51102,32453,17880,21748,42258,41971,35133,36864,,,,,,,,,,,,,,,106910,109204,101534,147827,192961,178185,133518,169984,106284,133287,121864,131440
'847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",3736,5296,8938,9542,11937,11852,8445,5771,13790,19640,23038,16382,,,,,,,,,,,,,,,67008,66724,78182,53187,59881,55891,61565,53624,59963,79495,88662,65207
'640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",8116,12419,4434,8994,5716,3873,9605,8767,4635,4962,4038,6423,,,,,,,,,,,,,,,26619,34838,22683,23375,20844,14771,27009,23276,13556,14764,11760,16166
'640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ...,6902,10148,6196,10532,4998,4229,11152,8459,4598,6178,5102,5993,,,,,,,,,,,,,,,20904,25372,20004,23195,16923,11523,25067,24230,16809,16271,12821,12150
'852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",39,7,5,30,5,16,332,3112,1553,1053,2401,4740,,,,,,,,,,,,,,,24494,22218,20172,26039,20333,12234,14695,16178,15469,16607,22799,19208
