Bilateral trade between China and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on General Customs Administration of China statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China's imports have been reported by China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,China's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,China's imports from world,,,,,,,,,,,,
,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05
'TOTAL,All products,7616500,7571560,8909620,10341356,9496688,8755450,9536842,9254549,7447508,9076397,11060650,11574431,,,,,,,,,,,,,,,210480719,223553036,219516564,238129450,215280956,218674101,243639971,234059059,208900488,269903560,274087934,271349010
'847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,829065,663391,537847,757511,610731,788007,1374416,1270737,1651597,1699924,2680917,3875439,,,,,,,,,,,,,,,2352371,2520780,1891622,2621216,2273917,2761522,4830257,4294790,5064831,7938277,8331139,9497255
'852492,"Flat panel display modules, whether or not incorporating touch-sensitive screens, with drivers ...",1347251,1514916,2365586,3181938,2914565,2131252,2364155,1931136,1300762,1621792,1538903,1605916,,,,,,,,,,,,,,,1463770,1655856,2483079,3335254,3035816,2368157,2526088,2053848,1441119,1811518,1720291,1837215
'847170,Storage units for automatic data-processing machines,237632,134689,180025,295652,201071,208032,173624,233460,476868,514633,925555,676805,,,,,,,,,,,,,,,2084182,1530393,1672502,2161164,1988877,1946190,2175933,2143429,2519966,3840861,4290271,4247219
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",412680,539732,355862,375412,499228,505176,467994,671169,352650,505060,927034,627377,,,,,,,,,,,,,,,990764,1174193,894691,989608,1008562,1046844,1024234,1157979,761504,1098191,1681468,1241343
'847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",864917,545561,686110,553969,431379,393349,306626,351167,286034,595726,436527,548121,,,,,,,,,,,,,,,2115173,1437810,1617846,1481583,1367169,1330013,1331109,1487807,1499965,2178654,1553560,1584602
'999999,Commodities not elsewhere specified,377927,306984,298508,350580,356703,402361,400891,322341,236912,259222,396383,439874,,,,,,,,,,,,,,,765362,648495,637651,743887,739355,864529,848575,778863,636344,736407,954816,893017
'852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",362182,432876,607612,593191,660476,613279,550464,531943,375980,477359,397814,410707,,,,,,,,,,,,,,,977316,1212035,1787373,1819624,1952776,1855715,1634748,1441252,1110660,1488381,1298869,1169909
'440122,"Wood in chips or particles (excl. those of a kind used principally for dyeing or tanning purposes, ...",147619,160804,156584,152947,125242,192937,200501,220592,155979,227301,180956,198729,,,,,,,,,,,,,,,234437,241916,226617,273897,171924,275642,330752,301021,232564,303761,266634,265753
'081060,Fresh durians,357138,333366,444056,902189,639289,309451,202589,105053,33476,51199,60907,195076,,,,,,,,,,,,,,,1242474,1068192,896422,1008343,679600,341895,310154,333722,251975,152251,961429,1636488
'851779,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",152332,195580,220197,247545,233450,204637,164054,171650,100786,203049,227791,182385,,,,,,,,,,,,,,,1075294,1002835,990504,1318743,1361049,1468361,1404530,1278953,842113,1082824,1214275,1042459
'847180,"Units for automatic data-processing machines (excl. processing units, input or output units ...",26535,84118,90878,40993,45426,52815,113718,86794,58291,261544,286273,161516,,,,,,,,,,,,,,,646297,1239977,1036659,741926,819404,1314049,1135701,1824141,1134748,1301808,1995607,1432160
'854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",49587,48484,66746,67757,59307,66255,60677,59005,29476,42031,58754,104355,,,,,,,,,,,,,,,193975,211211,219071,212651,194316,203262,222987,217509,156086,276930,292207,352063
'230240,"Bran, sharps and other residues of cereals, whether or not in the form of pellets, derived ...",12606,27363,39681,37163,46400,37691,50416,54612,37321,47185,69368,82530,,,,,,,,,,,,,,,13522,29165,40406,38029,47531,39777,53143,57087,38216,51905,72767,84749
'520512,"Single cotton yarn, of uncombed fibres, containing >= 85% cotton by weight and with a linear ...",59616,55266,70913,66351,69361,73847,80632,84292,48886,72646,80369,75814,,,,,,,,,,,,,,,93675,93797,113127,108572,117216,134718,162453,154152,120837,189492,178524,165513
'847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",21477,94981,66086,48826,82647,79085,57007,57550,34527,6080,171217,75325,,,,,,,,,,,,,,,42373,128988,83582,73853,107044,107496,99875,81192,78165,44945,199292,89964
'640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ...,76877,71983,88845,72839,49457,80868,79710,72013,79029,75674,46757,72537,,,,,,,,,,,,,,,140400,127663,139482,120020,88722,143176,146429,142313,138690,142935,98979,128921
'030631,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether ...",38946,49489,60434,67697,87025,64769,61718,86930,136767,76495,73529,69193,,,,,,,,,,,,,,,72556,80149,90760,120351,159609,140614,141755,188576,249638,145178,139326,131104
'100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",13892,16753,24783,10768,6388,11304,15963,45255,22505,50634,70844,65031,,,,,,,,,,,,,,,72413,93984,89928,79225,72586,63473,124419,115241,54823,117227,136892,109295
'400280,"Mixtures of natural rubber, balata, gutta-percha, guayule, chicle or similar types of natural ...",104162,150236,161843,198273,163560,167058,229612,257675,168487,133073,87429,55425,,,,,,,,,,,,,,,524168,476656,481895,570845,463644,545379,715303,626475,445978,577352,514181,442454
'901510,Rangefinders,791,20763,40598,69572,65081,62143,46485,53718,34973,44196,49433,45597,,,,,,,,,,,,,,,43612,82396,98687,132226,122425,129880,86204,99021,59602,72592,89787,87264
'081090,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ...",47083,21162,16938,21488,20617,40063,52376,36352,36776,40305,54495,44148,,,,,,,,,,,,,,,50624,29115,37712,50610,58242,96475,135340,127842,115178,76069,69772,48194
'640299,Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...,63472,60255,59682,43746,39333,55493,46923,64265,48332,39980,37859,43560,,,,,,,,,,,,,,,97483,92147,89316,68399,60644,86500,80801,96736,80419,77140,64269,65767
'071410,"Fresh, chilled, frozen or dried roots and tubers of manioc ""cassava"", whether or not sliced ...",15910,14666,20108,17165,8825,6274,8848,16201,22590,32860,38974,42535,,,,,,,,,,,,,,,152758,125521,150086,66903,52617,15470,44306,25623,51693,92686,94617,116584
'853400,Printed circuits,43363,48557,56707,54394,53920,59666,62069,51840,32086,42872,42941,42526,,,,,,,,,,,,,,,584009,682081,711012,790037,681597,628606,680558,619353,465373,617802,648727,591723
'110814,Manioc starch,67577,51315,57272,73939,70115,79761,102727,117189,75516,115402,86437,42514,,,,,,,,,,,,,,,160965,124912,116262,134210,137032,146551,183837,211237,142801,231823,199047,127331
