Bilateral trade between Estonia and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Eurostat statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia's exports have been reported by Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Estonia's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Estonia's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,1868,482,1380,908,749,629,4010,975,1135,407,1482,941,,,,,,,,,,,,,,,1768898,1782888,1656406,1650867,1653321,1858856,2004534,1871787,1809686,1822923,1712395,2137686
'291631,"Benzoic acid, its salts and esters (excl. inorganic or organic compounds of mercury)",255,0,256,194,206,45,144,151,152,0,195,192,,,,,,,,,,,,,,,5355,4648,2135,5458,4540,4353,4269,3741,3525,4659,4549,4981
'851779,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",110,44,24,55,27,103,283,0,42,63,0,189,,,,,,,,,,,,,,,6741,7195,5312,4254,3818,2433,5382,5255,2345,3090,12468,3429
'470710,"Recovered ""waste and scrap"" paper or paperboard of unbleached kraft paper, corrugated paper ...",0,0,0,0,0,0,37,50,62,63,83,129,,,,,,,,,,,,,,,306,679,511,615,493,434,471,471,321,505,404,435
'270300,"Peat, incl. peat litter, whether or not agglomerated",13,0,14,22,15,0,15,21,39,7,8,60,,,,,,,,,,,,,,,19481,16928,18044,16318,14385,20068,23007,20799,17211,14694,11514,15182
'440712,"Fir ""Abies spp."" and spruce ""Picea spp."" sawn or chipped lengthwise, sliced or peeled, whether ...",34,35,90,35,0,10,23,55,20,42,65,54,,,,,,,,,,,,,,,12819,12771,11446,11142,9351,13626,12945,11193,8406,12162,11332,13979
'440910,"Coniferous wood, incl. strips and friezes for parquet flooring, not assembled, continuously ...",46,0,0,74,90,52,25,0,0,0,25,54,,,,,,,,,,,,,,,23371,26292,24875,19413,20038,25160,25337,21108,15449,22907,23489,27178
'440890,"Sheets for veneering, incl. those obtained by slicing laminated wood, for plywood or for other ...",95,49,265,39,116,113,131,40,107,0,119,41,,,,,,,,,,,,,,,8777,8242,6886,8406,5164,7822,7098,7701,5161,8226,7130,7817
'391390,"Natural polymers and modified natural polymers, e.g. hardened proteins, chemical derivatives ...",102,33,50,84,48,16,94,110,80,24,3,32,,,,,,,,,,,,,,,253,136,117,357,87,79,198,137,276,300,77,261
'902519,"Thermometers and pyrometers, not combined with other instruments (excl. liquid-filled thermometers ...",5,3,2,0,9,21,4,9,0,9,9,28,,,,,,,,,,,,,,,7325,7399,8739,5087,5392,6735,7104,7932,6161,6615,6232,8373
'760900,"Aluminium tube or pipe fittings ""e.g., couplings, elbows, sleeves""",0,0,0,0,0,0,0,0,0,0,0,27,,,,,,,,,,,,,,,15,6,9,23,2,8,6,16,6,12,1,44
'290729,"Polyphenols and phenol-alcohols (excl. resorcinol and hydroquinone ""quinol"" and their salts, ...",0,0,0,0,0,0,0,0,0,0,0,24,,,,,,,,,,,,,,,256,406,448,441,401,685,439,546,561,349,306,420
'853650,Switches for a voltage <= 1.000 V (excl. relays and automatic circuit breakers),0,0,0,0,0,3,0,0,0,0,0,19,,,,,,,,,,,,,,,1662,1363,1526,1806,1322,2050,1617,1319,1206,1491,1341,1852
'854390,"Parts of electrical machines and apparatus, having individual functions, n.e.s. in chapter ...",0,0,0,0,0,0,9,0,0,0,0,16,,,,,,,,,,,,,,,2556,2777,2314,1223,2436,2065,2212,2253,2224,2092,2163,2096
'841370,"Centrifugal pumps, power-driven (excl. those of subheading 8413.11 and 8413.19, fuel, lubricating ...",7,0,0,0,0,0,0,1,2,0,2,9,,,,,,,,,,,,,,,847,712,485,510,251,441,811,647,393,281,634,487
'732690,"Articles of iron or steel, n.e.s. (excl. cast articles or articles of iron or steel wire)",0,0,0,0,4,0,0,0,13,0,5,8,,,,,,,,,,,,,,,10238,10634,10159,8983,10529,12705,12729,12866,7816,10200,9219,10244
'820820,"Knives and cutting blades, of base metal, for machines or for mechanical appliances, for w ...",0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,6,4,14,8,4,11,7,5,21,6,18,17
'901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",0,0,11,0,0,0,0,10,0,0,0,7,,,,,,,,,,,,,,,345,278,246,281,245,468,393,166,469,316,334,299
'852589,"Television cameras, digital cameras and video camera recorders (excl. high-speed, radiation-hardened ...",0,0,12,0,0,0,0,3,0,0,0,6,,,,,,,,,,,,,,,5839,8396,9172,6916,7354,8950,8070,7855,10700,6437,8504,10101
'902710,Gas or smoke analysis apparatus,37,2,0,13,0,0,15,0,0,0,0,6,,,,,,,,,,,,,,,1356,1221,1345,1152,314,403,375,219,363,373,430,502
'852692,Radio remote control apparatus,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,345,423,330,284,351,647,551,485,283,582,1115,609
'851629,Electric space-heating and soil-heating apparatus (excl. storage heating radiators),0,0,0,0,0,0,6,0,0,0,0,4,,,,,,,,,,,,,,,1757,2003,1440,1277,1599,1479,2663,2412,2566,2362,1164,2070
'210690,"Food preparations, n.e.s.",0,3,9,0,0,9,4,0,9,0,9,3,,,,,,,,,,,,,,,5254,5625,6000,5962,6034,6290,7149,5745,5899,6609,6353,6355
'853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",0,0,0,0,0,26,4,0,0,0,1,3,,,,,,,,,,,,,,,2916,3589,2457,2703,2696,3257,4092,2966,2008,3195,3240,3016
'870880,"Suspension systems and parts thereof, incl. shock-absorbers, for tractors, motor vehicles for ...",0,0,0,0,0,0,0,0,2,0,0,2,,,,,,,,,,,,,,,890,1164,773,1027,864,1187,889,928,733,677,1053,979
'841459,"Fans (excl. table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",0,0,0,0,0,1,0,0,1,0,0,2,,,,,,,,,,,,,,,474,479,802,386,1067,1087,848,153,754,367,612,659
'210220,Inactive yeasts; other dead single-cell micro-organisms (excl. packaged as medicaments),1,0,0,12,11,0,0,0,11,0,1,2,,,,,,,,,,,,,,,5485,5266,5020,4944,3520,5285,4509,4157,3069,5261,5865,8416
'854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",0,0,0,0,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,12461,12858,11116,9485,12089,12548,12960,9367,9060,12243,11982,15495
'851150,Generators of a kind used for internal combustion engines (excl. magneto dynamos and dual purpose ...,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,66,69,78,122,72,85,78,73,76,106,130,132
'840999,Parts suitable for use solely or principally with compression-ignition internal combustion ...,0,0,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,1244,1412,724,839,1176,1509,1175,878,1065,1405,860,1351
'851130,Distributors and ignition coils of a kind used for spark-ignition or compression-ignition internal ...,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,29,31,32,33,35,39,32,34,21,29,27,39
'851140,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,194,43,57,49,56,44,47,41,28,58,58,75
'841490,"Parts of: air or vacuum pumps, air or other gas compressors, fans and ventilating or recycling ...",0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,255,418,365,184,719,165,292,230,408,164,297,467
'841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",154,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,516,353,925,704,516,523,640,512,353,675,1147,679
'840991,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,290,189,177,268,135,150,195,207,197,252,489,338
'841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",0,0,1,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,166,197,136,234,124,234,156,150,140,166,187,196
'401699,"Articles of vulcanised rubber (excl. hard rubber), n.e.s.",0,0,0,0,1,0,0,0,1,0,0,1,,,,,,,,,,,,,,,1761,2455,1412,1447,1506,1765,1692,1566,1390,1883,1509,1735
'420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1288,1491,1473,1651,1441,1741,1883,1858,1647,1789,1707,2045
'430130,"Raw furskins of the following types of lamb: Astrakhan, Caracul, Persian, Broadtail and similar, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6,0,0,13,0,0,0,0,0,0,0,0
