Bilateral trade between France and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Direction générale des douanes et droits indirects statistics since January, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               ITC calculations based on Eurostat statistics until January, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France's imports have been reported by France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,France's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,France's imports from world,,,,,,,,,,,,
,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05
'TOTAL,All products,725291,850224,717887,841965,769763,806239,749406,819262,813638,814355,786802,793910,,,,,,,,,,,,,,,69253297,68997737,55563370,70724090,69083525,64940787,65812368,61290466,66347632,73962019,71351745,66748598
'847180,"Units for automatic data-processing machines (excl. processing units, input or output units ...",12297,19166,15062,19491,26983,33345,13033,38751,50421,45212,58483,65042,,,,,,,,,,,,,,,79099,98698,63399,88712,108922,99757,91622,114693,114972,103124,112398,121431
'851713,Smartphones for wireless networks,59336,95655,74943,84606,65390,66055,30916,67522,120688,53871,27952,55262,,,,,,,,,,,,,,,380819,483668,434265,575065,645849,699695,631507,513731,460462,411240,490079,408289
'640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",49577,74344,52789,44909,46224,44681,39874,70487,51234,54298,57681,54539,,,,,,,,,,,,,,,122399,164166,125129,111560,96302,99352,100310,121084,97830,104993,103480,89919
'640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ...,43514,50833,41375,38153,29336,33954,33941,43575,41170,45984,39091,39186,,,,,,,,,,,,,,,160102,179211,130015,143087,131721,135013,139450,172852,153059,172602,134833,134165
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",39309,23918,29122,35629,40675,36703,28031,30870,30437,37324,35939,32903,,,,,,,,,,,,,,,426061,458302,357482,451082,459767,450924,436308,386280,355357,427508,410163,351622
'640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",41855,46213,40679,35471,26928,35635,35358,35458,32638,38051,29742,30101,,,,,,,,,,,,,,,225012,253177,188346,200296,170428,175374,175180,201954,206803,225032,176390,160142
'640299,Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...,34680,39915,28081,24123,19779,21576,23922,27822,22502,26962,26573,24575,,,,,,,,,,,,,,,139007,158409,99754,77604,68273,84177,106145,122011,114974,131819,103803,92375
'847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",13578,13589,18667,30775,22061,27932,23921,13797,17290,14081,12672,15041,,,,,,,,,,,,,,,429488,442160,539313,506632,536853,542447,589648,474635,369833,613335,481831,371670
'282590,"Bases, inorganic, and metal oxides, hydroxides and peroxides, n.e.s.",789,857,1805,893,1847,2165,0,1588,0,0,8869,14790,,,,,,,,,,,,,,,1865,3148,5891,2884,2677,3205,627,3437,1510,4290,13348,19671
'090111,Coffee (excl. roasted and decaffeinated),10522,16377,9212,8878,15281,16901,15518,15475,9097,29128,27907,14465,,,,,,,,,,,,,,,130456,168505,128296,153170,147244,135445,136171,143874,122389,151348,164454,128093
'440131,Wood pellets,0,0,0,0,17068,0,0,14473,8324,6759,6845,13370,,,,,,,,,,,,,,,48715,31096,30162,32811,44024,37014,30982,51229,38834,45246,40323,67098
'420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",15397,16750,12180,13405,13070,11582,13651,13543,14143,14899,12494,12490,,,,,,,,,,,,,,,120795,121224,92220,99263,95739,95099,101242,95357,92556,106549,119099,96314
'610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excl. cotton)",10554,10441,6747,5371,5120,7012,6603,7269,7370,10486,8457,10699,,,,,,,,,,,,,,,83886,83282,65439,60841,67657,64084,64102,66230,62288,78875,73766,75543
'650610,"Safety headgear, whether or not lined or trimmed",8804,7618,6328,11069,8743,15842,7457,12820,8576,7981,12067,9518,,,,,,,,,,,,,,,30872,32902,25178,34189,34610,40851,31925,33304,27609,32313,33495,33560
'852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,7535,9416,8580,8354,6647,10559,9236,10478,8082,10094,7663,8090,,,,,,,,,,,,,,,75289,81387,70148,82882,81429,89464,95704,66392,57315,76214,65823,53771
'610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",10169,12073,8260,5579,4488,5050,6932,9007,8280,10093,8081,7879,,,,,,,,,,,,,,,203326,204787,138815,112064,101412,117130,144419,151399,156446,181718,182008,171575
'844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excl. of ...",10738,11724,6802,9042,7467,5386,8051,7716,6306,10009,8164,7855,,,,,,,,,,,,,,,126513,141608,95454,144597,154093,117801,139849,130347,119041,168319,143555,117570
'620463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres ...",5777,6079,4443,5412,3346,3579,4031,4539,7322,9255,8255,7804,,,,,,,,,,,,,,,39274,49235,41945,41177,36427,32346,45022,39089,42418,47977,43196,41550
'080132,"Fresh or dried cashew nuts, shelled",5664,8804,7108,7541,7145,8573,10016,9214,6239,9107,7391,7440,,,,,,,,,,,,,,,12294,14088,13968,14242,15162,16120,18008,15518,12038,15851,14439,14414
'844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",8360,5211,7154,8324,7988,6774,8063,6545,5530,8211,6525,7374,,,,,,,,,,,,,,,72084,56577,52479,60410,68201,57682,66937,60327,50130,73253,59829,51651
'950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...",6049,7497,12386,15844,14516,11288,9531,7540,6624,7284,4726,7169,,,,,,,,,,,,,,,174749,213519,264477,329777,315004,283377,228306,216029,189401,202363,174363,179679
'610463,"Women's or girls' trousers, bib and brace overalls, breeches and shorts of synthetic fibres, ...",5240,8587,6750,6836,6043,7690,5860,6469,5459,6720,5624,6804,,,,,,,,,,,,,,,37692,47267,47849,50486,49162,45452,47752,38221,69382,34983,33341,33914
'620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excl. ...",5700,7621,4896,5377,5065,5400,5662,7249,6487,7294,6878,6502,,,,,,,,,,,,,,,41077,46686,36470,39211,38197,36062,42551,39604,39683,44819,45532,38471
'852871,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",3263,3456,1698,3488,3516,1178,2010,3701,6015,1750,2207,6067,,,,,,,,,,,,,,,28425,32727,22405,26997,15918,20864,18446,17987,19276,25213,23848,24997
'940360,"Wooden furniture (excl. for offices, kitchens and bedrooms, and seats)",5065,4326,4406,5040,4052,3730,5582,6845,6453,6895,5436,5875,,,,,,,,,,,,,,,127677,138047,106023,130557,133231,122494,125655,124039,127385,133838,121621,120900
'852589,"Television cameras, digital cameras and video camera recorders (excl. high-speed, radiation-hardened ...",1588,1124,1240,1859,2167,2261,2174,4561,2955,4321,5071,5631,,,,,,,,,,,,,,,88652,96131,72962,90059,98724,102099,83331,94004,84220,88787,92966,100108
'847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,4461,5292,5750,8703,5938,12717,11358,747,11522,1389,8014,5309,,,,,,,,,,,,,,,136740,167776,236906,389096,209827,185957,235269,177125,267826,247871,341690,305899
'852872,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",1190,2082,3001,2897,2532,4037,4611,6333,4582,6230,8041,4828,,,,,,,,,,,,,,,95493,76952,86569,124897,134706,150829,118511,105216,88297,90252,93044,96872
'621210,"Brassieres of all types of textile materials, whether or not elasticated, incl. knitted or ...",6385,6015,5052,5338,4859,3805,4372,4509,4541,6562,4415,4798,,,,,,,,,,,,,,,48144,48076,31306,39261,30112,28123,34411,38935,33188,44120,40466,41702
'940161,"Upholstered seats, with wooden frames (excl. convertible into beds)",3533,3828,1598,2537,1532,2336,3406,4053,3458,3723,4071,4501,,,,,,,,,,,,,,,103382,100666,61475,97800,100438,90777,87737,96579,97510,106530,101268,84512
'611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",3398,6994,8447,11898,10908,14110,13434,8528,5675,4539,4035,4341,,,,,,,,,,,,,,,75990,136531,174456,214075,210897,173884,201777,117315,74864,64116,54195,59732
'852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",1412,686,651,5130,294,5320,1254,13,678,2744,3523,4157,,,,,,,,,,,,,,,55727,56836,45586,63725,51304,72994,71324,66395,92397,58210,149190,148056
'851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",5119,5125,5423,5956,8103,8769,8318,4052,5951,7357,5336,4046,,,,,,,,,,,,,,,59682,70784,56169,75069,109423,113854,97008,84617,46564,56791,63544,53043
'081090,"Fresh tamarinds, cashew apples, jackfruit, lychees, sapodillo plums, passion fruit, carambola, ...",3628,2394,1767,2050,2442,3062,5898,3386,3216,3622,3154,3923,,,,,,,,,,,,,,,9090,7800,9258,9960,14710,16971,40955,17157,14802,14643,12271,11993
'850440,Static converters,2382,3307,2164,4156,3147,3994,3848,3931,3708,3314,4045,3916,,,,,,,,,,,,,,,312146,275218,223993,334669,317275,265885,282856,290138,284266,348904,328686,309874
'630622,Tents of synthetic fibres (excl. umbrella and play tents),3055,3102,387,149,276,135,311,334,633,1649,2903,3824,,,,,,,,,,,,,,,20851,19980,5471,4171,3386,5471,5037,7503,12408,14671,21883,21946
'620140,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks, incl. ski jackets, wind-cheaters, ...",4420,7103,12606,17175,12377,13053,9045,6801,3798,2615,2200,3631,,,,,,,,,,,,,,,34171,57473,75725,106120,84732,74503,75196,49809,37713,29035,23394,25759
'392321,"Sacks and bags, incl. cones, of polymers of ethylene",3141,2811,2523,2145,3186,2489,2932,2576,3111,2567,2987,3583,,,,,,,,,,,,,,,48503,49321,42183,49540,50995,44272,41388,43954,46309,49434,50895,47156
'847050,Cash registers incorporating a calculating device,5414,4357,2797,4984,4328,5035,5936,3545,2636,1460,3739,3456,,,,,,,,,,,,,,,22906,15491,13042,18048,14398,13452,14460,13933,9915,8555,17592,19015
'847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",263,30,173,281,410,1176,292,4253,369,3288,3244,3446,,,,,,,,,,,,,,,166696,252118,148081,188580,237484,171698,265427,281528,157253,277504,245192,215417
'392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excl. ...",2761,1362,2162,2669,2076,1719,2293,2392,1518,2654,2030,3047,,,,,,,,,,,,,,,312890,313163,243316,308076,321851,286512,279023,302039,314959,351601,342091,298726
'640219,Sports footwear with outer soles and uppers of rubber or plastics (excl. waterproof footwear ...,4784,6627,5114,3507,3169,2276,1910,2592,2604,2533,2275,2999,,,,,,,,,,,,,,,21611,24426,15781,14126,14958,12235,14650,13616,10963,9399,11373,12084
'902140,Hearing aids (excl. parts and accessories),4926,4779,3400,6312,5805,5246,5862,4275,4662,5286,4204,2949,,,,,,,,,,,,,,,31701,29926,19937,36362,36793,34585,36865,31904,36149,42512,36170,26269
'640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",4556,8424,12406,15077,10120,10664,7816,6924,4248,4192,3302,2913,,,,,,,,,,,,,,,38602,70087,87189,110354,92061,72133,53598,45019,32724,29084,24281,28446
'850811,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor, ...",3174,1388,1453,1158,3736,3300,1640,701,1461,2262,1191,2899,,,,,,,,,,,,,,,83104,75924,59483,76272,89160,112881,71139,57781,59187,78478,68323,80005
'620240,"Women's or girls' overcoats, car-coats, capes, cloaks, anoraks, incl. ski jackets, wind-cheaters, ...",3510,7093,8785,16145,11745,11812,11572,7129,5392,4568,2741,2856,,,,,,,,,,,,,,,43824,81512,104255,139890,122287,102157,105766,71178,48679,41970,27250,26886
'650500,"Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile ...",2740,2711,2073,1477,1178,1929,2316,2667,4100,3992,2787,2731,,,,,,,,,,,,,,,31225,37899,33496,36075,35873,34717,35401,30336,32595,33044,30844,28470
'901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",2635,2702,1832,2510,2672,2362,2642,2501,2680,2793,2864,2730,,,,,,,,,,,,,,,117948,129714,77034,105427,113865,99486,100710,103256,102023,109895,106522,97059
'620520,"Men's or boys' shirts of cotton (excl. knitted or crocheted, nightshirts, singlets and other ...",3327,3769,2266,3044,3607,2693,3418,3582,2531,2993,2502,2537,,,,,,,,,,,,,,,41161,53309,40307,38832,31361,27790,37357,39091,35970,38001,35648,33426
'570331,"Turf, of man-made textile materials, tufted ""needle punched"", whether or not made up (excl. ...",929,1259,753,529,836,1533,2837,3211,2818,2294,2644,2519,,,,,,,,,,,,,,,6318,8524,4717,3580,4289,3840,3758,5049,5903,6572,6902,6512
'847170,Storage units for automatic data-processing machines,295,389,419,372,494,352,393,804,563,1047,6550,2508,,,,,,,,,,,,,,,97930,109714,89910,110979,96130,123556,160050,133758,90350,82308,115540,75962
'850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",2427,8513,4232,5745,6205,4329,5469,2739,5080,6906,2028,2492,,,,,,,,,,,,,,,94244,86739,81550,88781,75966,68949,70211,82818,82184,112559,91571,92767
'621143,"Women's or girls' tracksuits and other garments, n.e.s. of man-made fibres (excl. knitted or ...",1354,1404,1405,1090,1110,1328,1480,1106,2047,1889,1452,2464,,,,,,,,,,,,,,,26374,29440,20804,25246,19333,17008,23628,17542,19461,20377,19960,23064
'853180,Electric sound or visual signalling apparatus (excl. indicator panels with liquid crystal devices ...,3091,2878,5149,2036,427,1932,361,2189,1212,1074,2881,2461,,,,,,,,,,,,,,,43910,39288,36142,33364,43738,50065,46627,36432,44305,57874,43485,45365
'741110,Tubes and pipes of refined copper,2204,1178,1208,1392,922,860,1076,1033,2370,1318,2934,2457,,,,,,,,,,,,,,,30648,33188,17540,29759,33976,27074,22379,30270,34522,37721,36448,30140
'850760,Lithium-ion accumulators (excl. spent),333,723,373,579,219,611,633,1503,1210,1487,1321,2454,,,,,,,,,,,,,,,257369,201665,249601,222176,296576,388529,347317,247166,226890,290892,239721,257046
'160529,"Shrimps and prawns, prepared or preserved, in airtight containers (excl. smoked)",1506,1676,1168,1937,1619,1658,989,1363,1448,1781,1977,2446,,,,,,,,,,,,,,,7953,8080,6024,6530,7171,6323,7016,6046,5503,7265,6445,7186
