Bilateral trade between Georgia and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Ministry of Finance of Georgia statistics since January, 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               ITC calculations based on Ministry for Economic Development, Department for Statistics of Georgia statistics until January, 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia's imports have been reported by Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Georgia's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,Georgia's imports from world,,,,,,,,,,,,
,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04
'TOTAL,All products,5597,5037,6212,3699,3764,4378,4077,2463,4670,5840,4593,4949,,,,,,,,,,,,,,,1057665,1050036,1131169,1032251,1102331,1157944,1091317,1418861,841414,1060634,1256932,1170176
'851713,Smartphones for wireless networks,2090,2419,2377,1934,1794,2183,2935,476,2116,3935,1777,2627,,,,,,,,,,,,,,,18980,20879,19667,17725,21309,25647,29676,33633,13950,17425,16448,20839
'090111,Coffee (excl. roasted and decaffeinated),1146,340,849,0,579,634,0,0,169,154,622,1237,,,,,,,,,,,,,,,2426,2007,2623,1859,3093,2482,2540,2417,1463,1480,3020,2263
'940161,"Upholstered seats, with wooden frames (excl. convertible into beds)",48,29,47,0,95,50,80,28,61,66,65,117,,,,,,,,,,,,,,,1813,1745,2448,1753,1858,1913,1902,2842,1206,1542,1604,2172
'080132,"Fresh or dried cashew nuts, shelled",0,106,0,320,0,105,0,46,295,0,107,114,,,,,,,,,,,,,,,0,115,0,425,20,107,14,94,295,0,242,114
'401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excl. tyres with lug, ...",829,316,84,0,84,0,80,45,469,242,476,86,,,,,,,,,,,,,,,3142,4231,2463,1832,2463,2069,2200,1949,2040,1771,2538,3346
'850819,"Vacuum cleaners, incl. dry cleaners and wet vacuum cleaners, with self-contained electric motor ...",78,163,0,186,0,0,82,220,149,156,0,79,,,,,,,,,,,,,,,604,1317,460,649,342,191,943,1169,441,1074,606,2399
'851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",13,31,27,26,49,60,31,0,22,266,14,78,,,,,,,,,,,,,,,743,1196,1196,1060,920,1449,1236,1967,893,1390,655,1193
'847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",19,88,21,52,0,0,0,0,212,72,12,78,,,,,,,,,,,,,,,8213,14020,11502,4827,6400,5450,7609,9499,4661,5490,9145,6400
'200820,"Pineapples, prepared or preserved, whether or not containing added sugar or other sweetening ...",0,0,22,0,23,22,0,0,0,27,28,77,,,,,,,,,,,,,,,40,14,25,40,61,25,15,5,4,30,38,79
'845020,"Laundry-type washing machines, of a dry linen capacity > 10 kg",291,0,73,82,131,124,64,68,12,0,127,67,,,,,,,,,,,,,,,476,187,348,490,311,194,572,392,294,148,422,255
'850440,Static converters,35,37,54,28,41,41,43,27,24,39,14,61,,,,,,,,,,,,,,,2805,2351,3778,4628,2963,3979,2026,5390,1652,3535,2280,3523
'841810,"Combined refrigerator-freezers, with separate external doors or drawers, or combinations thereof",80,27,0,22,27,0,0,0,0,0,27,54,,,,,,,,,,,,,,,2363,2032,2746,2246,2252,2093,1605,1629,1221,2027,2027,2309
'940360,"Wooden furniture (excl. for offices, kitchens and bedrooms, and seats)",14,18,54,0,72,10,33,5,49,45,42,50,,,,,,,,,,,,,,,2541,2536,2984,2225,3099,2544,3432,3947,2350,2645,3815,3345
'960310,"Brooms and brushes, consisting of twigs or other vegetable materials bound together, with or ...",0,41,0,19,0,40,0,41,40,0,0,41,,,,,,,,,,,,,,,47,68,44,61,38,72,44,121,87,7,29,75
'200110,"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",0,13,20,40,42,0,19,19,12,0,41,41,,,,,,,,,,,,,,,588,438,312,251,424,282,860,614,182,265,556,543
'170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",0,53,0,69,0,0,41,0,0,0,0,32,,,,,,,,,,,,,,,2836,2097,3097,2295,2918,3920,4570,3663,1670,3009,3414,2821
'080111,Desiccated coconuts,0,29,71,0,0,0,0,0,0,0,83,30,,,,,,,,,,,,,,,41,44,127,2,89,6,2,31,1,7,93,33
'100620,Husked or brown rice,0,0,25,0,0,0,26,0,0,0,0,25,,,,,,,,,,,,,,,2,12,26,205,11,8,51,3,2,2,2,27
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",63,152,387,168,132,130,0,133,197,49,63,15,,,,,,,,,,,,,,,5695,5558,5294,5535,4577,3164,3784,5126,3308,11408,6931,2800
'240391,"Tobacco, ""homogenised"" or ""reconstituted"" from finely-chopped tobacco leaves, tobacco refuse ...",20,17,14,0,9,9,11,5,4,9,9,10,,,,,,,,,,,,,,,20,17,14,0,9,9,11,5,4,9,9,10
'580639,"Narrow woven fabrics of textile materials other than cotton or man-made fibres, with a width ...",0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,7,30,29,25,16,15,83,12,13,21,9,46
'611020,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of cotton, knitted or crocheted ...",0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,576,778,1416,2343,2359,2437,1553,1729,1385,1224,1479,958
