Bilateral trade between Germany and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Federal Statistical Office of Germany statistics since January, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               ITC calculations based on Eurostat statistics until January, 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany's imports have been reported by Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Germany's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,Germany's imports from world,,,,,,,,,,,,
,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04
'TOTAL,All products,1773366,1707334,1858627,1731772,1866847,1733967,1852489,1679627,1928557,1910456,1926024,1804599,,,,,,,,,,,,,,,126233609,129613521,137106604,119064949,140497180,140795769,134673640,122885514,124469927,132069360,149745549,143317956
'010632,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,5,6,2,15,12,5,4,4,46,1,1,0
'010639,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,72,58,58,31,25,24,41,226,84,48,112,76
'020110,"Carcases or half-carcases of bovine animals, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,19751,20167,23184,19682,25011,24676,20768,21611,21401,24596,27341,23225
'020220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2145,2017,2087,1720,2893,2800,3067,1904,1757,2580,3075,2828
'020410,Fresh or chilled lamb carcases and half-carcases,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13394,16294,13395,13302,13455,14410,11867,18068,14834,16275,20255,17996
'020641,Frozen edible livers of swine,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,8,34,15,4,20,16,12,22,48,15,49,31
'020690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,746,751,593,742,1019,979,928,973,874,854,1420,901
'020752,"Frozen domestic geese, not cut in pieces",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3,3,422,2164,8462,13200,7788,2122,265,230,65,39
'020910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2065,2362,2257,2818,2086,2004,2051,1566,1916,2077,2612,2156
'021093,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat ...",0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,1,0,4,0,1,1,0,1,1
'030199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,763,495,289,286,345,590,632,668,721,405,509,756
'030221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,254,184,188,230,261,308,207,305,146,156,213,226
'030252,"Fresh or chilled haddock ""Melanogrammus aeglefinus""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,51,34,31,52,54,128,48,97,103,44,88,95
'030256,"Fresh or chilled blue whiting ""Micromesistius poutassou, Micromesistius australis""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,1,1,1,1,1,1,64,50,3,40,41
'030285,"Fresh or chilled sea bream ""Sparidae""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4016,4403,4625,3824,4988,5217,4577,5109,4629,5202,6935,5184
'030314,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3623,2866,3856,4775,4510,1153,1612,1387,1898,2579,3471,4156
'030331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus ...",0,0,0,0,0,8,0,0,0,0,8,0,,,,,,,,,,,,,,,985,2139,2292,1891,1542,1859,1554,1009,959,1338,1105,1453
'030341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,10,0,19,24,0,17,8,12,0,15,10
'030343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,1,0,0,125,130,123,0,0,0,0
'030366,"Frozen hake ""Merluccius spp., Urophycis spp.""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,200,416,277,110,453,304,185,345,383,263,303,422
'030368,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,11,16,13,5,5,7,10,5,7,6,11
'030431,"Fresh or chilled fillets of tilapia ""Oreochromis spp.""",0,0,0,0,7,0,0,0,0,7,0,0,,,,,,,,,,,,,,,16,66,6,5,50,16,18,7,12,36,43,18
'030441,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus ...",0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,44103,49708,47172,43344,41647,41834,43510,60029,41872,46353,58486,44024
'030443,"Fresh or chilled fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...",0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,402,378,316,352,434,401,349,481,300,336,409,414
'030455,"Fresh or chilled meat, whether or not minced, of toothfish ""Dissostichus spp."" (excl. fillets)",0,0,0,0,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,3,3,3,16,1,1,1,0,0,5,1
'030485,"Frozen fillets of toothfish ""Dissostichus spp.""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4,0,12,0,9,1,14,45,0,0,16,6
'030579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excl. heads, tails, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,11,12,15,8,7,19,13,18,24,15,23,11
'030619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,209,458,548,212,472,354,216,439,185,124,355,214
'030732,"Mussels ""Mytilus spp., Perna spp."", frozen, even in shell",0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,747,839,579,604,1259,383,487,315,668,854,551,726
'030751,"Octopus ""Octopus spp."", live, fresh or chilled",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,323,497,496,443,458,352,307,341,170,250,363,286
'030990,"Flours, meals and pellets of crustaceans, molluscs and other aquatic invertebrates, fit for ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,106,1169,63,46,1010,75,242,864,9,221,161,34
'040721,"Fresh eggs of domestic fowls, in shell (excl. fertilised for incubation)",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,69972,71022,73709,73778,79771,81076,84006,88743,95873,96117,98094,95322
'040891,"Dried birds' eggs, not in shell, whether or not sweetened (excl. egg yolks)",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4614,5104,5014,4808,5380,7434,6164,4908,7555,4200,5933,6325
'060420,"Foliage, branches and other parts of plants, without flowers or flower buds, and grasses, mosses ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,9081,5817,6034,6424,7367,12808,40205,25112,6672,8138,7951,6895
'070190,Fresh or chilled potatoes (excl. seed),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,47220,56680,26748,9019,15995,17069,13929,17568,14935,16943,22471,29220
'070529,Fresh or chilled chicory (excl. witloof chicory),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1820,1330,1025,1071,908,957,2685,3134,3287,3142,3442,2191
'070610,Fresh or chilled carrots and turnips,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,25157,19186,11627,11042,10791,9960,10225,15458,17743,20410,20791,22858
'070810,"Fresh or chilled peas ""Pisum sativum"", shelled or unshelled",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1902,1938,2335,1814,1772,2158,1848,2284,2803,2710,2917,2366
'071021,"Shelled or unshelled peas ""Pisum sativum"", uncooked or cooked by steaming or by boiling in ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3762,3674,4487,3227,3724,3641,3461,3570,3870,4713,4571,3819
'071090,"Mixtures of vegetables, uncooked or cooked by steaming or by boiling in water, frozen",1,0,2,0,0,0,0,0,0,0,17,0,,,,,,,,,,,,,,,12193,12043,11121,11074,12795,14535,13677,13379,12907,13201,14273,12886
'071140,"Cucumbers and gherkins provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,420,398,162,247,515,187,151,126,391,259,196,123
'071239,"Dried mushrooms and truffles, whole, cut, sliced, broken or in powder, but not further prepared ...",1,5,3,18,14,1,0,14,2,9,9,0,,,,,,,,,,,,,,,1729,1136,1455,1321,1453,2653,1923,1498,1979,999,2901,2130
'071320,"Dried, shelled chickpeas ""garbanzos"", whether or not skinned or split",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2454,2110,2693,1942,2174,2103,1946,1686,2032,2395,3029,2234
'071332,"Dried, shelled small red ""Adzuki"" beans ""Phaseolus or Vigna angularis"", whether or not skinned ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,49,15,113,63,33,87,80,72,111,77,39,119
'071335,"Dried, shelled cow peas ""Vigna unguiculata"", whether or not skinned or split",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,69,100,100,73,143,75,133,289,43,121,74,61
'071340,"Dried, shelled lentils, whether or not skinned or split",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4730,4201,4103,4373,5042,4336,4696,5199,5457,6456,4284,5893
'080292,"Fresh or dried pine nuts, shelled",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7380,7332,11149,4113,6498,3804,9986,10194,13228,11962,7953,15785
'080410,Fresh or dried dates,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6638,7667,6529,6090,8826,11656,13166,16044,21754,27357,19154,10328
'080440,Fresh or dried avocados,17,4,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,60225,50738,57419,43789,49856,55104,54968,51482,69213,70714,71101,68784
'080620,Dried grapes,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,18784,19751,25170,21066,20216,22951,21633,18028,14306,16095,18159,14455
'080921,"Fresh sour cherries ""Prunus cerasus""",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,120,7217,24752,3052,181,88,46,270,52,23,29,183
'081110,"Frozen strawberries, uncooked or cooked by steaming or boiling in water, whether or not sweetened",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,22938,19989,21700,24341,23283,17623,12714,10636,9135,10549,14556,17826
'010121,Pure-bred breeding horses,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1828,877,901,2174,3462,2493,4187,2586,436,2091,1154,2334
'030542,"Smoked herring ""Clupea harengus, Clupea pallasii"", incl. fillets (excl. offal)",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,126,222,225,161,159,106,122,113,62,106,109,127
'110813,Potato starch,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6837,6703,7206,6268,6309,6484,5641,5340,5967,5291,6071,6121
'110820,Inulin,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1491,1771,1845,1859,1641,1699,2076,930,1936,2163,1219,2049
'120230,"Groundnut seed, for sowing",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,1,0,0,3,0,0,1,2,3,16,1
'120730,Castor oil seeds,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,7
'120760,"Safflower ""Carthamus tinctorius"" seeds",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,178,61,29,30,25,25,77,189,374,85,64,72
'121300,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2587,3038,3210,2663,3408,4237,3579,3831,3046,3321,4978,3635
'130190,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins (excl. gum Arabic)",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,3428,2596,2469,3407,3078,2821,2043,2009,2557,1972,3456,2725
'130211,Opium,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,12,0,0,0,0,0,0,0
'130213,Extracts of hops,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1931,598,635,690,960,1068,830,273,481,3456,1046,1297
'150710,"Crude soya-bean oil, whether or not degummed",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13602,12563,9478,10124,12335,11473,9981,7783,10708,13093,9517,10044
'151521,Crude maize oil,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,876,1683,1270,1082,958,541,651,822,421,577,581,692
'151530,"Castor oil and fractions thereof, whether or not refined, but not chemically modified",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,8539,12405,16607,6310,10820,5714,6947,13091,5765,7698,8795,14189
