Bilateral trade between India and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Directorate General of Commercial Intelligence & Statistics statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India's exports have been reported by India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,India's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,India's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,427530,458291,416947,501794,482953,536309,611585,672619,651025,557622,584537,761740,,,,,,,,,,,,,,,38442422,38448499,35085611,37196917,34884315,36342728,34191089,38083855,38486987,36460028,36597106,38877691
'020230,"Frozen, boneless meat of bovine animals",34254,43285,32891,68683,66221,61903,61819,61698,70820,64938,72198,100077,,,,,,,,,,,,,,,248879,306164,253022,358371,377519,441962,458937,449203,491691,459225,413193,349412
'720839,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,0,0,0,0,7432,33145,33684,16651,39069,14611,78834,,,,,,,,,,,,,,,20683,12135,12256,9983,14756,46892,69121,93628,89536,60667,64616,96713
'030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",30431,39645,41485,40423,29781,38739,41085,41671,32762,21558,26281,37002,,,,,,,,,,,,,,,356298,479555,451689,469200,390534,447100,503250,477135,383967,306587,302114,372748
'100630,"Semi-milled or wholly milled rice, whether or not polished or glazed",17480,29514,14589,17029,10078,8790,8455,16904,16402,8424,12786,17885,,,,,,,,,,,,,,,1041048,920947,828469,873510,831282,860413,862563,761744,940598,994704,1118829,937242
'760110,"Aluminium, not alloyed, unwrought",15838,12533,16269,17581,45480,44699,48969,64920,26383,17977,13544,17608,,,,,,,,,,,,,,,205372,219113,163901,221096,227061,259651,261064,316833,348682,274738,223542,267070
'720838,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",0,0,0,0,0,7083,1612,28034,11546,16698,1874,16926,,,,,,,,,,,,,,,4786,4601,4066,7149,20994,38279,8567,55760,30433,30881,35991,27178
'870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",14403,13136,10209,14951,10755,11888,8670,11480,11388,14845,14436,16561,,,,,,,,,,,,,,,283148,306390,293716,329496,322781,320242,259459,292781,303694,294439,296359,310389
'100590,Maize (excl. seed for sowing),0,0,16,0,179,0,310,2574,30794,15330,13300,16084,,,,,,,,,,,,,,,6558,12970,14214,13046,12247,6862,7843,24438,61705,45409,51930,45292
'680223,"Granite and articles thereof, simply cut or sawn, with a flat or even surface (excl. with a ...",9955,8193,8236,12413,12169,11856,12381,12552,13585,6883,13393,15273,,,,,,,,,,,,,,,64962,67505,64600,69698,69419,61162,54609,58389,64248,52530,62497,67245
'020629,Frozen edible bovine offal (excl. tongues and livers),13160,14690,9170,11549,14850,16069,17316,20744,18530,18877,17693,14847,,,,,,,,,,,,,,,21989,24174,15101,20833,25315,26546,29639,35656,34734,33397,27948,20642
