Bilateral trade between Japan and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Japanese Ministry of Finance statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan's imports have been reported by Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Japan's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,Japan's imports from world,,,,,,,,,,,,
,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05
'TOTAL,All products,2544030,2619199,2450186,2559001,2754169,2487721,2687162,2820137,2753093,2585535,2797323,2613092,,,,,,,,,,,,,,,62347857,64558106,58744970,65272615,66018926,60591318,66051319,66059316,61385557,65226528,64258468,62540023
'854430,"Ignition wiring sets and other wiring sets for vehicles, aircraft or ships",208035,181249,181455,186707,205413,182161,202472,210660,207553,174473,200392,172913,,,,,,,,,,,,,,,520181,458357,444861,492193,527004,476652,499068,515056,536066,516251,527415,475308
'851713,Smartphones for wireless networks,194128,188737,126728,163767,126897,160695,85042,148532,242096,247879,198743,164130,,,,,,,,,,,,,,,1236351,1211866,915264,2210094,3091688,2013567,2157822,2095411,1669209,2119539,1859495,1412054
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",72651,84448,75635,107665,101037,85126,72820,88842,79916,115166,102367,128696,,,,,,,,,,,,,,,622694,633137,618073,701751,603265,590691,605659,612511,676086,618308,605960,690341
'440131,Wood pellets,93030,90826,100214,99749,66930,93610,112340,98001,91124,80227,106953,82450,,,,,,,,,,,,,,,170467,155133,158240,148738,153970,116038,150030,155870,137240,142528,166033,129651
'847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",22527,20468,28996,28385,70549,50198,70902,66161,36681,49363,53970,70166,,,,,,,,,,,,,,,872292,1042445,858842,986455,1072121,939870,888689,1175565,798371,1013581,952456,830119
'440122,"Wood in chips or particles (excl. those of a kind used principally for dyeing or tanning purposes, ...",50195,53994,70844,66106,54243,50917,62909,61558,71317,58485,63097,67526,,,,,,,,,,,,,,,122107,122050,135116,134777,129098,106297,142128,135182,146701,144302,147681,108907
'640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",44673,41711,34656,26505,29058,31233,44924,58875,40221,31984,17698,42832,,,,,,,,,,,,,,,78385,77495,64164,52242,54806,55234,75106,96761,73354,66826,35500,59846
'610910,"T-shirts, singlets and other vests of cotton, knitted or crocheted",37141,41902,26366,21500,16744,22426,20199,39572,38007,48675,55807,42787,,,,,,,,,,,,,,,140357,132088,98698,81582,72573,71728,76751,143683,156140,187392,197697,144110
'847150,"Processing units for automatic data-processing machines, whether or not containing in the same ...",10143,7182,11846,16556,10499,14213,4103,3774,5283,8940,68863,36491,,,,,,,,,,,,,,,995454,850105,703318,662147,438436,555241,503691,516013,486138,785872,911153,775874
'950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...",33485,38763,31110,32966,42060,42969,46346,33429,36351,32716,37013,34019,,,,,,,,,,,,,,,252141,289657,260745,276781,312140,345650,313536,279317,264215,194839,276733,238331
'950450,Video game consoles and machines (excl. operated by any means of payment),9114,505,4707,3726,8509,4188,9862,15616,61597,36688,80925,33899,,,,,,,,,,,,,,,200508,257711,93004,144296,293884,346671,342268,249564,217678,108533,159197,177351
'090111,Coffee (excl. roasted and decaffeinated),54466,46217,32407,33665,35894,22966,26057,40814,47058,29610,37806,33764,,,,,,,,,,,,,,,241377,206544,221853,211911,210389,150736,204446,210334,202784,191025,196912,141812
'847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,14585,17521,12701,16012,18184,15858,16600,23465,42332,32620,39853,33749,,,,,,,,,,,,,,,190130,192437,176324,184931,184840,181495,220247,253443,241136,261432,285560,279248
'280530,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",10822,15055,12682,13544,14811,10537,13786,15129,12640,24356,30492,32285,,,,,,,,,,,,,,,21168,26074,23111,27613,35548,18214,30581,22679,23189,29634,37966,48495
'999999,Commodities not elsewhere specified,28040,27228,30232,28276,29274,38967,33349,33960,35808,39112,36509,30376,,,,,,,,,,,,,,,1392139,1388612,1168535,1491695,1205507,1505920,1580601,1358870,1355238,1716153,1259662,1307115
'851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",26382,21573,16446,28266,49202,47553,48844,50686,30134,21789,37810,27027,,,,,,,,,,,,,,,99650,79659,65965,105297,114994,115093,103733,118300,73587,62769,89286,84717
'640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",29144,28145,29336,25924,22971,27040,36245,32480,30554,25146,15986,25063,,,,,,,,,,,,,,,98893,103612,96513,89175,78852,81797,94558,98865,90724,80293,62715,67964
'610990,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excl. cotton)",24575,36887,23816,25676,29335,21756,27603,25817,20787,29982,31525,24296,,,,,,,,,,,,,,,83972,96553,80161,86267,86387,69102,81785,104320,121095,132517,142747,99725
'640299,Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...,27882,28809,24701,21009,23347,19571,29433,43226,35176,28082,21831,23183,,,,,,,,,,,,,,,101820,109472,104327,85438,71270,71743,90072,131877,135626,102282,97063,83947
'854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",25746,27142,23620,20640,26616,21930,20003,25704,27924,19074,24676,23126,,,,,,,,,,,,,,,155654,165460,152410,151933,148187,150595,139573,164464,148300,134937,158867,159737
'392321,"Sacks and bags, incl. cones, of polymers of ethylene",19643,22491,19292,21113,23967,21016,22969,21753,19823,20725,20595,20790,,,,,,,,,,,,,,,89114,94591,77999,91972,91852,87958,91521,91612,83670,85464,87224,89711
'420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",32664,37661,25918,24722,25331,27142,35862,50766,32764,27364,24572,20452,,,,,,,,,,,,,,,217845,235868,203279,198666,215972,208532,231462,267580,237926,190279,216061,195571
'850511,Permanent magnets of metal and articles intended to become permanent magnets after magnetization ...,12646,13674,14130,16189,15089,12013,15616,15636,12904,16140,13554,18871,,,,,,,,,,,,,,,47899,61914,56787,61619,65979,52860,58651,70059,59848,62820,67196,62319
'870895,"Safety airbags with inflator system and parts thereof, for tractors, motor vehicles for the ...",19667,19532,15382,21989,21176,19727,18288,23369,21697,20370,19005,18845,,,,,,,,,,,,,,,59113,57951,45194,59568,54145,51665,51264,56516,58013,57425,52653,49253
'390761,"Poly""ethylene terephthalate"", in primary forms, having a viscosity number of >= 78 ml/g",8951,11781,10188,11975,14243,8580,11640,9059,9010,10650,10996,18807,,,,,,,,,,,,,,,69095,78088,69844,71518,77970,60395,61405,61369,56210,72661,76360,108399
'160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excl. smoked)",24858,20582,22568,23191,23430,22595,28999,18816,22857,13634,25107,18718,,,,,,,,,,,,,,,59766,55831,56667,57482,56737,55207,66935,47800,49626,44309,59585,43956
'620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excl. ...",21820,25188,24212,16834,14719,18432,20650,25973,24421,24854,17829,18525,,,,,,,,,,,,,,,60728,67709,73731,77907,64941,55150,58566,86802,84507,88009,79927,56680
'030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",27364,25039,20098,23881,24879,22135,23683,17407,15424,9585,23738,17271,,,,,,,,,,,,,,,100461,105674,98228,108511,137726,131426,133596,105266,83946,71702,96548,83798
'630260,"Toilet linen and kitchen linen, of terry towelling or similar terry fabrics of cotton (excl. ...",16027,16267,14338,16279,18994,18995,18242,16201,12988,13909,15984,15227,,,,,,,,,,,,,,,42012,45036,35885,43962,47011,48692,46347,46669,36340,39624,45890,40722
'640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ...,19342,22916,19973,18957,19740,17044,15712,27662,18232,15927,11156,14572,,,,,,,,,,,,,,,91847,107437,111335,120335,103188,90105,83858,120462,124567,95553,102495,94869
'844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excl. of ...",14040,13802,11435,10720,13796,12471,16224,17336,17246,14922,18381,14558,,,,,,,,,,,,,,,138039,137367,127958,128217,129571,125214,125936,139106,133898,124322,132367,117296
'844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",10671,14962,14230,15369,13881,15156,18938,18452,17268,9412,12291,14449,,,,,,,,,,,,,,,78059,79372,98186,94626,93918,92481,90454,93692,95599,80227,73916,86542
'210111,"Extracts, essences and concentrates, of coffee",13059,15477,11956,14318,17265,12798,13668,15307,13998,17623,19944,14446,,,,,,,,,,,,,,,30779,31760,32409,28713,34085,25758,31837,33524,26565,38331,35506,29553
'853400,Printed circuits,15162,15955,12362,14190,17971,15534,14811,15917,15712,16174,13940,14444,,,,,,,,,,,,,,,124777,124319,111478,126889,126307,125415,119529,133599,115760,131645,122555,133814
'270111,"Anthracite, whether or not pulverised, non-agglomerated",5150,444,5011,5066,7011,4324,14257,8440,4502,13465,3218,14430,,,,,,,,,,,,,,,37517,44405,48050,62206,45534,64245,54637,53144,42111,45849,45264,114304
'851779,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",11701,17311,12525,14808,21017,18053,14452,15080,8349,12128,15126,14428,,,,,,,,,,,,,,,64268,72203,73178,72136,82095,76824,67297,71673,51378,66616,60756,62152
