Bilateral trade between Mongolia and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Mongolian Customs statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia's imports have been reported by Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Mongolia's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,Mongolia's imports from world,,,,,,,,,,,,
,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04
'TOTAL,All products,8383,10068,8952,9268,9758,9373,13668,11708,11104,11112,10802,6396,,,,,,,,,,,,,,,974695,983618,949219,994905,1058619,842030,853275,1106201,842929,731949,903379,1188297
'330741,"""Agarbatti"" and other odoriferous preparations which operate by burning",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,4,7,1,2,2,2,4,3,0,0,6,3
'330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",0,0,0,0,0,12,13,2,19,0,34,0,,,,,,,,,,,,,,,516,659,744,759,828,540,674,511,585,428,842,767
'340249,"Organic surface-active agents, whether or not put up for retail sale (excl. soap, anionic, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,14,1,57,1,8,0,2,19,0,0,10,6
'621290,"Corsets, braces, garters, suspenders and similar articles and parts thereof, incl. parts of ...",0,3,1,0,1,0,0,0,0,2,0,0,,,,,,,,,,,,,,,8,5,6,2,3,2,9,5,2,4,1,7
'621490,"Shawls, scarves, mufflers, mantillas, veils and similar articles of textile materials (excl. ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,6,4,6,3,15,2,1,2,0,1,3,2
'630590,"Sacks and bags, for the packing of goods, of textile materials (excl. man-made, cotton, jute ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,17,0,0,3,20,97,1,9,2,11,1,29
'630900,"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,587,354,597,523,415,327,435,638,551,393,284,339
'631010,"Used or new rags, scrap twine, cordage, rope and cables and worn-out articles thereof, of textile ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,32,75,0,15,48,24,82,5,1,8,0,0
'490300,"Children's picture, drawing or colouring books",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,7,16,220,1,23,34,17,49,14,5,23,38
'490590,"Maps and hydrographic or similar charts of all kinds, incl. atlases, wall maps, topographical ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,2,0,0,0,0,1,0,4,0
'490890,"Transfers ""decalcomanias"" (excl. vitrifiable)",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,1,1,9,2,5,2,0,3,3,2
'491110,"Trade advertising material, commercial catalogues and the like",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,13,19,27,23,9,15,11,11,5,23,10,7
'491191,"Pictures, prints and photographs, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,5,0,3,1,8,14,6081,1,0,5,7
'500790,"Woven fabrics containing predominantly, but < 85% silk or silk waste by weight",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,11,0,0,0
