Bilateral trade between Norway and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Statistics Norway statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway's imports have been reported by Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Norway's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,Norway's imports from world,,,,,,,,,,,,
,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05,,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,Value in 2026-M04,Value in 2026-M05
'TOTAL,All products,101260,112881,109351,114835,117250,123690,120196,95663,117474,145299,100656,98940,,,,,,,,,,,,,,,9329816,8783479,8270847,9721521,9928403,9837053,9808854,7992767,9322105,10826434,9885356,10326090
'851713,Smartphones for wireless networks,23523,30043,23809,20119,22315,29915,16649,15087,27528,32067,14939,14652,,,,,,,,,,,,,,,81741,88801,68151,86723,98097,129260,89620,90572,83213,85083,78659,71740
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",5532,6890,5962,10888,8059,8998,9759,7523,6634,13593,9652,8389,,,,,,,,,,,,,,,139364,78689,89249,95296,115490,93498,103108,98023,93195,115417,101916,129470
'640411,"Sports footwear, incl. tennis shoes, basketball shoes, gym shoes, training shoes and the like, ...",5721,6382,5113,6244,4353,3330,4144,8664,10473,7223,6901,6804,,,,,,,,,,,,,,,8637,10586,9207,10948,7534,5640,7596,11995,14439,13359,11652,11059
'847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",2404,2533,4255,3013,4129,5250,3181,2612,2981,3183,4949,2999,,,,,,,,,,,,,,,79077,88753,113285,76597,78323,86207,81623,76115,69675,83316,81081,62579
'420292,"Travelling-bags, insulated food or beverage bags, toilet bags, rucksacks, shopping-bags, map-cases, ...",3671,3591,3813,2953,1835,2325,2930,2169,2452,3567,2833,2556,,,,,,,,,,,,,,,9904,9423,10363,8881,7354,8471,9487,7363,7686,10888,8470,9001
'640419,Footwear with outer soles of rubber or plastics and uppers of textile materials (excl. sports ...,5788,4145,4019,9084,3271,3747,3115,1810,2712,7586,3259,2499,,,,,,,,,,,,,,,13082,12553,11697,18610,10447,9770,9856,10454,11155,17330,10694,8642
'902140,Hearing aids (excl. parts and accessories),2117,835,2768,2397,2481,1927,2075,2519,2579,2648,2352,2467,,,,,,,,,,,,,,,5616,2963,6343,6388,7265,5291,5054,6225,6789,6900,6224,6375
'847050,Cash registers incorporating a calculating device,443,377,225,282,601,222,298,212,236,200,221,2427,,,,,,,,,,,,,,,948,847,562,754,1046,782,1197,710,596,833,1051,3044
'846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excl. ...",1369,1254,621,932,589,701,533,579,1064,2766,1603,2005,,,,,,,,,,,,,,,11658,10795,9250,10570,9118,9664,7697,8059,10818,14586,13130,12586
'401120,"New pneumatic tyres, of rubber, of a kind used for buses and lorries (excl. tyres with lug, ...",1122,1603,1307,1319,484,91,726,870,969,763,526,1887,,,,,,,,,,,,,,,10296,7163,9949,9658,7351,3910,2614,3372,4032,6311,3711,8538
'852852,Monitors capable of directly connecting to and designed for use with an automatic data processing ...,1209,1090,2011,1332,1972,2299,1586,998,921,1700,1222,1781,,,,,,,,,,,,,,,16427,14563,17618,17691,23065,22634,19469,14988,17027,18362,16824,16353
'620343,"Men's or boys' trousers, bib and brace overalls, breeches and shorts of synthetic fibres (excl. ...",1305,1358,1248,1696,1641,1167,1078,1295,1467,1969,1632,1712,,,,,,,,,,,,,,,6707,6084,6136,7911,6195,6002,5331,6049,6315,8822,7907,6466
'851830,"Headphones and earphones, whether or not combined with microphone, and sets consisting of a ...",1193,1572,1117,1319,2540,2965,2834,2557,1909,1889,1520,1639,,,,,,,,,,,,,,,15939,16699,14746,18178,21396,26004,25060,19508,14702,15158,16212,14754
'640399,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather ...",1600,2825,2085,1984,1031,1173,1386,2291,2134,2377,2052,1384,,,,,,,,,,,,,,,8798,11226,10033,8670,6076,5512,8573,9742,13172,13593,10085,8322
'640299,Footwear with outer soles and uppers of rubber or plastics (excl. covering the ankle or with ...,1281,2045,1293,1465,961,676,799,1324,1983,1894,1816,1349,,,,,,,,,,,,,,,4707,5188,4433,4599,3353,2739,3100,5792,6340,7617,5682,5145
'160521,"Shrimps and prawns, prepared or preserved, not in airtight containers (excl. smoked)",1890,1210,1649,1848,1673,1680,1565,2242,1498,1525,1527,1158,,,,,,,,,,,,,,,4331,3756,3715,3957,4017,3819,4018,4517,4767,4562,3504,3971
'999999,Commodities not elsewhere specified,1628,1316,4232,933,1110,1319,1436,1038,726,1767,1211,1088,,,,,,,,,,,,,,,400580,371538,340956,380745,408799,406635,380980,337320,348506,383002,266642,265721
'030617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in ...",1386,1486,1586,1749,1776,1325,1778,1942,1457,885,752,981,,,,,,,,,,,,,,,1975,2076,2051,2337,2279,1588,2094,2437,2058,1506,1307,1271
'852589,"Television cameras, digital cameras and video camera recorders (excl. high-speed, radiation-hardened ...",728,465,261,920,726,963,1049,860,555,462,665,927,,,,,,,,,,,,,,,13848,13338,13861,12152,14148,16347,18638,14797,14936,16147,14250,14110
'851810,Microphones and stands therefor (excl. cordless microphones with built-in transmitter),666,662,443,515,641,613,594,891,694,1042,660,859,,,,,,,,,,,,,,,2758,2450,1964,2730,2751,2861,2951,2984,2482,3205,2329,2747
'940169,"Seats, with wooden frames (excl. upholstered)",369,263,155,45,45,48,295,133,187,361,788,825,,,,,,,,,,,,,,,2919,3100,2722,2856,2735,3041,2493,2430,2462,3458,3897,3861
'611030,"Jerseys, pullovers, cardigans, waistcoats and similar articles, of man-made fibres, knitted ...",414,667,683,637,890,378,618,450,569,971,546,823,,,,,,,,,,,,,,,5821,10491,16188,18532,15521,12389,10739,10131,9456,10858,6098,6055
'940179,"Seats, with metal frames (excl. upholstered, swivel seats with variable height adjustments ...",375,264,101,54,78,91,263,563,899,694,930,782,,,,,,,,,,,,,,,5423,4538,2259,2223,2173,3073,5733,7838,10508,10084,7750,7388
'850760,Lithium-ion accumulators (excl. spent),122,435,401,121,271,249,78,466,369,1024,1040,666,,,,,,,,,,,,,,,18606,19113,15769,27184,19794,23740,27976,24261,21729,26676,39105,33702
'843311,"Mowers for lawns, parks or sports grounds, powered, with the cutting device rotating in a horizontal ...",328,292,97,49,5,1,72,107,458,1301,601,657,,,,,,,,,,,,,,,13493,9619,3335,2211,1575,1550,1763,1639,9207,27425,25918,22529
