Bilateral trade between Spain and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Eurostat statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain's exports have been reported by Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Spain's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Spain's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,55788,54697,47533,59667,62588,48442,88925,62492,85890,56249,66434,108407,,,,,,,,,,,,,,,37508835,40392432,39326739,40901186,28799841,38421630,41326698,37349831,35460349,35092743,38150476,41939298
'851629,Electric space-heating and soil-heating apparatus (excl. storage heating radiators),0,20,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2467,3160,5034,5076,4702,7755,9993,9553,9361,7628,5403,5820
'851671,"Electro-thermic coffee or tea makers, for domestic use",0,0,7,0,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,6112,6067,6954,6196,5910,5943,7422,7473,5651,5840,5209,5522
'961900,"Sanitary towels (pads) and tampons, napkins and napkin liners, and similar articles, of any ...",0,9,0,0,0,0,0,0,0,0,12,0,,,,,,,,,,,,,,,43615,46628,44619,47621,40182,44972,46744,42497,44147,38455,40652,47088
'970129,"Collages and similar decorative plaques, over 100 years old (excl. mosaics)",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,19,8,40,12,4,13,9,1,2,519,212,984
'970400,"Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery, stamped paper ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,35,105,141,5,4,3,1,0,12
'970522,"Extinct or endangered species and parts thereof, as collections or collectorsÕ pieces of zoological, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,8,0,0,1,0,0,0,0,0
'940591,"Parts of lamps and lighting fittings, illuminated signs and nameplates and the like, of glass, ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,544,623,860,739,401,1064,970,743,389,702,679,669
'950420,Billiards of all kinds and accessories,160,0,0,0,0,0,0,0,8,0,0,0,,,,,,,,,,,,,,,663,366,656,699,197,383,1401,1097,826,277,718,404
'950631,"Golf clubs, complete",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,135,162,139,151,185,119,164,104,148,197,107,152
'950824,Motion simulators and moving theatres,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,537,0,9,0,59,0,70,0,0,0,115
'950826,Water park amusements,0,0,0,0,0,0,0,19,0,0,0,0,,,,,,,,,,,,,,,405,3252,3775,1143,389,505,115,1375,88,54,90,244
'960910,"Pencils and crayons, with leads encased in a sheath",7,2,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,940,1469,1313,1970,1259,1015,1042,1101,993,1105,1078,1209
'961220,"Ink-pads, whether or not inked, with or without boxes",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,29,23,18,49,19,14,34,24,34,34,38,61
'961610,"Scent sprays and similar toilet sprays, and mounts and heads therefor",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,9596,10420,9741,12462,7190,10938,11115,11796,8936,10121,8568,9140
'850131,"DC motors of an output > 37,5 W but <= 750 W and DC generators of an output <= 750 W (excl. ...",0,0,12,0,0,0,0,18,0,16,1,0,,,,,,,,,,,,,,,3522,5087,4025,3914,3614,5023,4791,4498,3822,3921,3567,3791
'850172,"Photovoltaic DC generators, of an output > 50 W",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,375,1,23,7,221,0,22,8,119,1,1,5
'850422,"Liquid dielectric transformers, having a power handling capacity > 650 kVA but <= 10.000 kVA",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,16996,17941,11237,24439,16687,23335,20779,21259,38798,17843,15727,23714
'850519,"Permanent magnets and articles intended to become permanent magnets after magnetization, of ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1095,1111,1001,1214,791,949,1271,1112,771,904,1402,1543
'850640,Silver oxide cells and batteries (excl. spent),0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,12,18,15,29,62,16,18,12,18,12,17,14
'850680,"Primary cells and primary batteries, electric (excl. spent, and those of silver oxide, mercuric ...",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,128,477,351,529,375,419,334,402,387,458,152,311
'850690,"Parts of primary cells and primary batteries, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,81,253,917,474,240,168,78,420,43,68,53,155
'850780,"Electric accumulators (excl. spent, and lead-acid, nickel-cadmium, nickel-metal hydride and ...",7,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1186,1779,1503,1467,986,2062,1748,1505,1305,847,1344,1227
'850790,"Plates, separators and other parts of electric accumulators, n.e.s.",0,0,0,0,459,231,757,0,232,0,0,0,,,,,,,,,,,,,,,4093,4798,3263,5790,4080,6608,6404,3755,3401,3375,4208,3775
'851020,Hair clippers with self-contained electric motor,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1622,2291,3619,1929,1664,1967,3219,4156,1684,2855,1956,1729
