"Bilateral trade between Taipei, Chinese and Viet Nam ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Directorate General of Customs Administration, Ministry of Finance statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bilateral trade data have been reported by Taipei, Chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taipei, Chinese's exports have been reported by Taipei, Chinese",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,"Taipei, Chinese's exports to Viet Nam",,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,"Taipei, Chinese's exports to world",,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,1371716,1582091,1351906,1686697,1674899,1628529,1528915,1559459,1783278,2056292,1438087,2184000,,,,,,,,,,,,,,,49005120,53165581,53685667,56399745,57678082,54244625,60563275,63692349,62452873,65783953,49936369,79579159
'854239,"Electronic integrated circuits (excl. such as processors, controllers, memories and amplifiers)",374904,447212,389393,453265,448513,515319,471218,428407,437199,583090,422604,476174,,,,,,,,,,,,,,,10706254,11283053,13496222,12002526,13406643,15354486,13683047,14389619,14017222,14247353,11234401,15712347
'854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",61649,87763,103938,182281,239265,127988,136350,169350,220046,308075,192010,409698,,,,,,,,,,,,,,,2566079,2538366,2320433,2733300,2546975,2765542,2708720,2301945,2450372,2451355,1949559,2749610
'854232,Electronic integrated circuits as memories,67376,121767,37250,81528,32988,27956,28016,50290,45967,76775,84286,86750,,,,,,,,,,,,,,,2166255,2714844,2353898,2415849,3009952,2208775,2600092,3626270,3715013,4315431,3888457,5246109
'853400,Printed circuits,33202,35026,26656,35975,32929,31651,31703,27577,76373,61482,45119,72640,,,,,,,,,,,,,,,421770,451612,408689,468967,448319,415836,479737,472043,474212,573121,395686,499588
'847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,36443,29769,33392,41699,37441,37441,31652,33000,50057,50105,50780,55663,,,,,,,,,,,,,,,2561290,3374277,1940523,7729415,2844335,1664600,1770359,1691768,1769577,1983968,1664483,2273093
'271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",1617,1845,7549,8576,1946,1818,1704,1942,2196,2373,1724,50479,,,,,,,,,,,,,,,740253,512513,963786,823370,822439,882974,699839,806291,958602,862391,722361,1130574
'900219,"Objective lenses (excl. for cameras, projectors or photographic enlargers or reducers)",31340,32663,30895,47695,49183,54284,47246,44812,53987,57980,42826,45126,,,,,,,,,,,,,,,139528,120832,137380,197455,201196,207111,198273,169761,188416,194918,147030,182576
'600410,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...",26841,34875,32912,30960,29872,39166,25367,30184,33128,26786,21107,35552,,,,,,,,,,,,,,,59065,75373,70722,62586,67824,78191,60628,58559,67490,56016,44291,69190
'852351,"Solid-state, non-volatile data storage devices for recording data from an external source [flash ...",6240,6890,5970,10033,10087,14104,6612,6987,10169,6779,10171,26574,,,,,,,,,,,,,,,624272,738029,847814,689434,757850,773336,801967,994425,921165,1056328,997517,1337331
'600632,"Dyed fabrics, knitted or crocheted, of synthetic fibres, of a width of > 30 cm (excl. warp ...",18625,18953,14390,17887,19343,21828,17662,16896,20002,22723,16497,24291,,,,,,,,,,,,,,,50754,51854,45343,46189,57675,57185,49707,48152,53888,55268,45141,57103
'852491,"Flat panel display modules, whether or not incorporating touch-sensitive screens, with drivers ...",12422,17998,12309,22418,15513,17728,20471,15733,19298,24352,12862,19470,,,,,,,,,,,,,,,231236,306073,251149,304108,300159,266836,291518,253995,252501,283619,204124,266305
'291736,Terephthalic acid and its salts,16060,17916,12183,13623,16799,21524,13384,17776,20755,17399,23118,18104,,,,,,,,,,,,,,,34436,47265,24446,22167,29212,42596,63676,33244,30169,33008,35337,21971
'390130,"Ethylene-vinyl acetate copolymers, in primary forms",13315,14905,13722,12596,8549,13328,13633,13661,14542,12921,7588,16713,,,,,,,,,,,,,,,42530,43979,42138,38961,35271,42260,48377,42938,42413,44811,30824,53190
'853224,"Fixed electrical capacitors, ceramic dielectric, multilayer (excl. power capacitors)",12250,11219,11202,13786,12578,14034,10240,11358,15509,16753,10164,16092,,,,,,,,,,,,,,,131818,125226,129678,138009,131947,133518,128835,142868,136897,153134,106033,146772
'540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",12733,10806,8926,10817,11345,15304,10561,8637,13060,14550,9915,13979,,,,,,,,,,,,,,,49107,45694,37806,39171,46860,45899,38857,36186,46738,45551,37017,37828
'390330,"Acrylonitrile-butadiene-styrene copolymers ""ABS"", in primary forms",9230,9508,7646,9877,8032,7597,6407,7149,6867,7330,5112,13926,,,,,,,,,,,,,,,78367,85489,76556,76320,71855,57715,65950,64904,60530,73017,55766,93968
'590320,"Textile fabrics impregnated, coated, covered or laminated with polyurethane (excl. wallcoverings ...",8810,10370,7075,7161,6970,7150,6376,6203,7817,10926,8555,13004,,,,,,,,,,,,,,,30767,32166,23162,22567,25610,22535,22858,22770,28567,29662,26939,34186
'540742,"Woven fabrics of filament yarn containing >= 85% nylon or other polyamides by weight, incl. ...",11011,10730,7771,12877,12222,17595,12798,9416,12403,11817,8107,12802,,,,,,,,,,,,,,,31279,31756,23970,28897,31209,37047,28981,24736,32592,27191,21924,31131
'390950,"Polyurethanes, in primary forms",9659,15945,8418,10874,9929,10097,10916,10135,12240,15257,5807,12679,,,,,,,,,,,,,,,32679,38404,27265,27228,31142,27695,29020,28864,32393,33787,21670,33677
