Bilateral trade between Zambia and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Central Statistical Office statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia's imports have been reported by Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Zambia's imports from Viet Nam,,,,,,,,,,,,Viet Nam's exports to world,,,,,,,,,,,,,Zambia's imports from world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,939,369,125,1704,388,2854,1385,3551,2273,2251,674,2459,,,,,,,,,,,,,,,936898,1065301,1101831,1143706,1141870,1184854,1303321,1212048,1235309,1140175,1142967,1257740
'630492,"Articles for interior furnishing, of cotton (excl. knitted or crocheted, blankets and travelling ...",849,0,0,0,0,0,0,0,0,837,0,2097,,,,,,,,,,,,,,,923,95,89,86,47,46,47,75,73,881,25,2179
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",2,6,12,6,29,299,51,63,174,276,7,120,,,,,,,,,,,,,,,2563,2583,2290,2228,2924,4706,3217,6577,10755,2797,2588,3970
'390230,"Propylene copolymers, in primary forms",0,0,0,0,0,0,0,0,0,0,0,60,,,,,,,,,,,,,,,1735,1829,1082,2111,1614,880,1539,969,1928,1653,1709,3193
'080111,Desiccated coconuts,1,0,1,2,1,1,46,0,1,0,49,24,,,,,,,,,,,,,,,2,1,23,93,56,2,48,4,2,51,51,57
'844331,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",0,0,8,0,68,132,0,29,78,6,75,23,,,,,,,,,,,,,,,145,76,298,87,392,425,121,255,195,136,318,98
'382499,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,22,25,0,0,5,0,0,0,0,0,20,,,,,,,,,,,,,,,8548,10243,10287,6452,6267,8827,6334,11106,9707,11689,6736,16931
'844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excl. of ...",0,2,2,0,5,0,0,8,0,0,0,19,,,,,,,,,,,,,,,461,537,582,472,504,436,510,821,506,597,703,654
'844332,"Machines which only perform one of the functions of printing, copying or facsimile transmission, ...",0,2,1,0,0,1,0,4,0,1,0,18,,,,,,,,,,,,,,,122,71,157,393,85,1110,218,172,184,109,93,1304
'844311,"Offset printing machinery, reel fed",0,0,0,0,1,0,0,7,0,0,0,11,,,,,,,,,,,,,,,2,37,2,34,10,72,64,25,92,16,0,40
'940561,"Illuminated signs, illuminated nameplates and the like, with a permanently fixed light-emitting ...",0,0,0,0,0,0,0,0,0,0,0,10,,,,,,,,,,,,,,,253,16,27,13,13,62,125,95,74,118,5,48
'731815,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excl. ...",5,3,5,3,4,7,5,9,4,5,3,8,,,,,,,,,,,,,,,1413,1374,2056,1908,1836,1594,1343,1631,1258,1621,1562,1735
'851519,Brazing or soldering machines (excl. soldering irons and guns),0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,2,2,5,1,12,5,1,1,7,55,44,16
'320619,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,0,5,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,2,31,7,19,1,60,17,26,15,5,33,19
'902610,Instruments and apparatus for measuring or checking the flow or level of liquids (excl. meters ...,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,365,699,627,579,482,435,604,352,623,527,350,733
'401693,"Gaskets, washers and other seals, of vulcanised rubber (excl. hard rubber and those of cellular ...",5,11,11,7,8,5,3,26,4,6,8,4,,,,,,,,,,,,,,,996,947,1605,727,1346,1027,1017,1077,1111,1160,934,920
'300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...",0,0,0,69,0,0,7,0,0,0,0,4,,,,,,,,,,,,,,,9834,13794,49361,22502,28516,13122,74799,85132,7269,18728,17524,23133
'761090,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",6,3,4,9,7,4,2,13,7,1,10,3,,,,,,,,,,,,,,,63,90,104,210,83,115,88,161,245,241,391,222
'220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",2,0,1,0,0,1,1,0,0,0,0,3,,,,,,,,,,,,,,,363,310,413,517,638,490,577,883,1127,647,599,408
'320649,"Inorganic or mineral colouring matter, n.e.s.; preparations based on inorganic or mineral colouring ...",17,20,0,30,15,78,20,0,0,44,0,3,,,,,,,,,,,,,,,334,381,322,475,268,452,660,480,456,137,355,337
'391690,"Monofilament of which any cross-sectional dimension > 1 mm, rods, sticks and profile shapes, ...",1,0,1,0,0,0,1,1,1,0,1,3,,,,,,,,,,,,,,,5,22,11,3,8,21,10,8,79,116,127,10
'640359,"Footwear with outer soles and uppers of leather (excl. covering the ankle, incorporating a ...",0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,20,118,124,96,67,90,208,75,77,89,179,45
'846729,"Electromechanical tools for working in the hand, with self-contained electric motor (excl. ...",0,7,0,0,0,0,0,0,2,0,0,1,,,,,,,,,,,,,,,152,165,174,182,303,280,284,180,248,284,203,276
'850490,"Parts of electrical transformers and inductors, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,198,113,484,1543,981,627,348,545,1468,624,1800,1573
'392390,"Articles for the conveyance or packaging of goods, of plastics (excl. boxes, cases, crates ...",0,1,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,586,452,440,908,778,800,759,465,821,322,585,542
'853110,Burglar or fire alarms and similar apparatus,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,49,22,643,64,56,76,50,46,27,60,91,156
'640391,"Footwear with outer soles of rubber, plastics or composition leather, with uppers of leather, ...",0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,10,10,8,29,31,44,33,33,119,106,176,33
