Bilateral trade between Australia and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Australia Bureau of Statistics statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia's exports have been reported by Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Australia's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Australia's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,517087,522338,573709,517928,457194,610832,598712,483519,657487,475559,566830,570951,,,,,,,,,,,,,,,26858545,28025544,30136262,29491434,26840890,29128652,30199955,29382928,32357493,28404632,29455656,31920789
'270112,"Bituminous coal, whether or not pulverised, non-agglomerated",235890,206680,250966,162768,140567,197843,210217,146414,238011,193212,202522,182626,,,,,,,,,,,,,,,3081832,3255102,4062641,3613876,3521179,3769891,3700171,3671348,4333228,3416875,3109512,3603057
'260111,Non-agglomerated iron ores and concentrates (excl. roasted iron pyrites),75886,57000,47017,53641,63329,60924,84869,53109,76335,39089,76509,86810,,,,,,,,,,,,,,,6055715,6691971,6735276,5964032,6261634,7047047,7358640,6590542,7502187,7027666,5443107,6350055
'760110,"Aluminium, not alloyed, unwrought",35764,33106,40993,29440,30506,44661,31613,41532,57306,39764,52430,66196,,,,,,,,,,,,,,,267011,310033,377542,278728,244654,323491,311330,307107,416659,305240,285471,396770
'100199,"Wheat and meslin (excl. seed for sowing, and durum wheat)",32868,32277,22620,51685,26896,43952,26507,7848,31419,36611,41835,19854,,,,,,,,,,,,,,,652438,660353,639583,585830,518701,484546,452418,277854,571058,646901,552967,498754
'740311,"Copper, refined, in the form of cathodes and sections of cathodes",15406,40595,25532,12302,20081,19257,21893,25226,0,25357,36274,19230,,,,,,,,,,,,,,,292245,464381,366145,443329,357524,356375,286952,439080,311317,347130,332523,278739
'720449,"Waste and scrap of iron or steel (excl. slag, scale and other waste of the production of iron ...",5063,15169,5966,4977,270,6658,15270,8143,24337,948,1081,15060,,,,,,,,,,,,,,,51216,65612,73962,55256,50792,75536,71957,64865,85962,30177,59939,72049
'790111,"Unwrought zinc, not alloyed, containing by weight >= 99,99% of zinc",3414,4433,4679,6173,9692,7906,10327,10708,9892,7675,11383,11910,,,,,,,,,,,,,,,48164,106253,32832,95463,100957,90658,84788,63729,109459,55062,62600,52978
'230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",5501,4345,7405,10456,9298,15180,9024,10899,10889,13937,10978,11723,,,,,,,,,,,,,,,18089,17960,20913,22558,20243,27215,25099,28192,24768,25399,27274,27981
'271113,"Butanes, liquefied (excl. of a purity of >= 95% of N-butane or isobutane)",6533,0,0,0,0,0,0,0,0,0,0,11419,,,,,,,,,,,,,,,60666,61061,29570,74959,32680,3788,48019,43251,46145,52720,48907,80248
'080610,Fresh grapes,3744,1062,0,0,0,0,0,0,112,1882,8124,10681,,,,,,,,,,,,,,,83831,41023,5430,1019,167,33,405,211,2238,13523,76879,113756
'520100,"Cotton, neither carded nor combed",5015,17450,43922,50234,52698,50607,62778,49557,46502,28516,13765,10205,,,,,,,,,,,,,,,24160,84938,245469,351840,353009,312568,364388,249784,168250,93868,77184,45746
'020230,"Frozen, boneless meat of bovine animals",7041,4858,8810,9835,10045,11210,8843,12337,11782,6767,9830,8919,,,,,,,,,,,,,,,604809,573422,655942,712688,649276,619267,643148,703377,745729,406284,699909,819563
'040210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",5094,1819,3535,4015,3856,7136,6668,15069,6239,2414,4104,7642,,,,,,,,,,,,,,,42647,39181,42942,41781,38307,45587,50576,69894,44481,45028,44991,47789
'110710,Malt (excl. roasted),9596,9897,8258,7571,7404,7335,9457,7616,5744,3969,7338,6545,,,,,,,,,,,,,,,25536,29701,33111,24009,21629,25769,34070,25439,33205,22619,22242,26663
'271112,"Propane, liquefied",6615,0,0,0,0,0,0,0,0,0,0,6280,,,,,,,,,,,,,,,73616,51533,66299,91821,64428,6027,45629,47789,58168,68969,61784,68340
'270400,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon",0,0,6000,0,0,0,0,0,11160,0,0,5639,,,,,,,,,,,,,,,6050,0,18910,2902,12780,20105,0,12046,11160,15184,13263,33204
'030214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""",0,0,256,617,1578,2767,3630,3544,5486,5723,4762,5579,,,,,,,,,,,,,,,4785,4078,3861,4651,9292,17552,25261,27037,56324,34778,21397,21571
'760120,Unwrought aluminium alloys,1412,1290,1574,1089,2408,3224,3677,3816,4154,3206,3448,4644,,,,,,,,,,,,,,,35135,43089,41266,34202,28340,33703,31582,32997,38511,38779,40582,35215
'780110,"Unwrought lead, refined",5928,8387,5513,2051,2148,4037,5971,3934,3288,545,3348,4504,,,,,,,,,,,,,,,60345,12387,9737,72462,5958,6978,51069,6186,4412,2609,5821,9152
