Bilateral trade between Chile and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Dirección Nacional de Aduanas statistics since January, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               ITC calculations based on Legal Publishing, Official Publisher of National Customs Service statistics until January, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile's exports have been reported by Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Chile's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Chile's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,27037,28855,15829,20032,20454,20694,25684,26043,31099,38163,32851,27396,,,,,,,,,,,,,,,8958775,9760184,8279033,9554164,8267531,8998976,10300074,8704347,10377427,13033758,10763310,11849460
'030312,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")",7504,4005,915,785,694,1633,5075,9496,10692,9026,7937,6727,,,,,,,,,,,,,,,54005,23745,12633,10960,29692,81325,140322,143520,135468,159245,132303,84257
'261310,Roasted molybdenum ores and concentrates,0,0,0,0,0,0,0,0,0,0,2733,3211,,,,,,,,,,,,,,,117944,83837,129949,167711,192256,166000,172276,118312,162731,139334,150782,153123
'740311,"Copper, refined, in the form of cathodes and sections of cathodes",0,0,0,0,489,1483,1572,1672,1746,0,4074,2650,,,,,,,,,,,,,,,1457285,1589301,1280003,1574011,1583305,1140290,1364318,1103087,1327188,1828692,1818121,1372284
'440711,"Pine ""Pinus spp."" sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...",4407,5124,3788,3613,3627,3562,4403,2452,1953,3042,2956,2412,,,,,,,,,,,,,,,63832,70630,63821,64594,59227,55655,66143,59189,58082,51596,43697,51444
'150420,"Fats and oils of fish and their fractions, whether or not refined (excl. liver oils and chemically ...",1315,1391,1943,1495,2228,1272,1392,2165,400,1407,2221,2100,,,,,,,,,,,,,,,16914,19040,15602,20442,67879,12032,14359,18866,11103,11528,10964,22088
