Bilateral trade between China and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on General Customs Administration of China statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China's exports have been reported by China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,China's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,China's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,17187749,17324890,16283874,17095211,17604141,16713245,16644530,18292691,18938565,18651990,12574352,19767439,,,,,,,,,,,,,,,315690928,316099099,325231523,321697041,321796726,328564343,305353278,330350566,357747797,356699626,299877987,321032653
'854232,Electronic integrated circuits as memories,930553,1059422,1033373,1038680,1108905,1039078,1166689,1283556,1371148,1841874,1718796,2296306,,,,,,,,,,,,,,,6495610,7593490,7787441,8527696,8301440,8867714,8027577,8942847,11560775,13354781,13492739,19141896
'854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",1082327,1450183,803259,1031283,1167312,993554,831623,1020495,869678,931489,807606,1057871,,,,,,,,,,,,,,,5730641,6009703,5977879,5716347,5991712,6575717,5437607,6164858,6718827,6038132,4209096,5809831
'852491,"Flat panel display modules, whether or not incorporating touch-sensitive screens, with drivers ...",625611,629929,594722,654312,670442,598601,601192,648091,666654,718130,534373,685532,,,,,,,,,,,,,,,2686751,2673468,2749631,2859997,2994151,2687839,2460385,2694069,2725832,2904308,2303653,2614118
'853400,Printed circuits,317535,344958,332123,430494,396450,430745,362593,377164,438791,472834,341005,567176,,,,,,,,,,,,,,,2120496,2133205,2160776,2383625,2369959,2333798,2118421,2282343,2513801,2610654,1943747,2902952
'850760,Lithium-ion accumulators (excl. spent),316019,325540,314847,423569,488164,435229,404345,394272,416092,479138,330214,557862,,,,,,,,,,,,,,,6142173,5857863,6600226,7046949,7153133,7101002,6967842,6810275,7579758,7440800,6762962,9746286
'847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,322281,347972,367116,484998,467899,431983,435126,404152,437322,523451,365283,528956,,,,,,,,,,,,,,,3045104,2973864,3177665,3306836,3519644,3384819,3562522,4501082,5703119,5791920,6327508,7911320
'851779,"Parts of telephone sets, telephones for cellular networks or for other wireless networks and ...",560918,572924,611196,734959,924250,931211,801299,667235,609921,635174,439596,523908,,,,,,,,,,,,,,,4271357,4138364,4234631,4270681,4491057,4662856,4268470,4346766,4555634,4691705,4214188,4979820
'854239,"Electronic integrated circuits (excl. such as processors, controllers, memories and amplifiers)",166762,203151,177757,220561,196780,207332,183766,205571,223070,216067,166057,257801,,,,,,,,,,,,,,,2990422,2928124,3096977,3291472,3094698,3209707,2937277,3017344,3174085,3205195,2402831,3727321
'999999,Commodities not elsewhere specified,293674,200631,251846,260459,289685,330259,335719,438879,388973,295970,211325,253589,,,,,,,,,,,,,,,11217361,10620761,10981193,9825859,10006698,9843340,8557985,9119748,10081051,8120911,8121810,9240751
'852990,"Parts suitable for use solely or principally with flat panel display modules, transmission ...",202490,230840,220028,245589,256025,229245,228839,239159,247135,294771,192342,240014,,,,,,,,,,,,,,,1685184,1463512,1575782,1666320,1837968,1736925,1527478,1635186,1686596,1769957,1486060,1697257
'740311,"Copper, refined, in the form of cathodes and sections of cathodes",96329,73384,98933,62195,85108,73775,82636,75435,102990,75073,45523,190354,,,,,,,,,,,,,,,728295,319804,764056,1168800,358140,257946,673647,1530826,1085924,1144852,1009226,751939
'852492,"Flat panel display modules, whether or not incorporating touch-sensitive screens, with drivers ...",214670,190958,178275,182677,317838,238708,217132,156516,252026,157975,148827,176013,,,,,,,,,,,,,,,1117774,966250,889215,977167,1295748,1627667,1424627,1361606,1104297,996799,658548,927458
'853690,"Electrical apparatus for switching electrical circuits, or for making connections to or in ...",148140,157411,147838,177411,174741,157757,172204,168805,150563,173718,110553,160029,,,,,,,,,,,,,,,1079723,1047713,1052582,1098772,1121991,1062127,983993,1107969,1169017,1289348,960106,1227648
'850440,Static converters,149192,177089,170964,196728,170606,152338,141590,155042,177349,181955,106548,159684,,,,,,,,,,,,,,,2991528,2934275,3125394,3182626,3092058,2785472,2702519,2978924,3296040,3183680,2830967,2822932
'851713,Smartphones for wireless networks,196635,77133,134460,175096,135662,178185,262601,172638,202763,160848,63537,143326,,,,,,,,,,,,,,,7465574,6763997,7302425,7423191,6678490,14760173,15423860,14691003,12431423,9662883,7176204,9443755
'600410,"Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric ...",155276,150702,132036,134846,155608,153249,154781,165234,164643,138911,92493,136396,,,,,,,,,,,,,,,543614,550073,501030,529334,608164,579079,534860,555761,549486,600000,488072,356111
'271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",76368,133392,94825,79402,117282,88409,87443,151024,113320,82286,71765,135741,,,,,,,,,,,,,,,2805812,2479929,2797548,2863646,2961761,2869168,2638370,3180641,3349044,2423432,2338661,3138292
'870121,"Road tractors for semi-trailers, with only compression-ignition internal combustion piston ...",72307,70314,67424,51533,37139,57348,63740,61838,40898,93429,49141,125297,,,,,,,,,,,,,,,415418,401497,391542,395704,375183,429426,505798,430881,526941,475047,425449,673383
'847130,"Data-processing machines, automatic, portable, weighing <= 10 kg, consisting of at least a ...",62399,55055,79375,110025,83290,76076,57910,56721,76796,88426,37439,119835,,,,,,,,,,,,,,,7113984,7165495,8616108,7965664,7500340,8407949,7095322,6888179,7521922,7281798,5607265,9053037
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",108366,121872,137463,108672,106304,135811,157466,153435,144064,120263,79682,115225,,,,,,,,,,,,,,,3027850,3033530,3096688,2982252,3089599,3748842,3599768,3678436,3763093,3323850,2623800,2944547
'392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excl. ...",105078,114127,111618,113540,110503,99378,99076,114229,120001,116878,70052,113295,,,,,,,,,,,,,,,1938828,1882272,2006721,1880549,1951531,1835315,1686321,1952918,2240408,2403996,1878064,1694994
'854143,Photovoltaic cells assembled in modules or made up into panels,20191,23894,21649,20628,33154,25060,29121,27004,29890,27222,48164,111827,,,,,,,,,,,,,,,1966757,2059711,1921515,1906285,2437736,2344007,1790423,1857254,1825152,1587109,1617245,3612342
'847989,"Machines and mechanical appliances, n.e.s.",158225,172680,148984,126253,115771,92989,92359,112528,110049,119442,60458,106506,,,,,,,,,,,,,,,901740,954475,911940,938014,960557,868284,1107316,1133821,1023630,1195235,905360,941520
'854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",123554,124726,106727,103553,109253,90666,92259,99479,102798,109387,63401,103904,,,,,,,,,,,,,,,1461014,1445508,1406032,1491337,1394761,1315671,1305543,1458206,1592706,1680827,1231621,1500753
'854159,"Semiconductor devices, n.e.s.",2522,1959,2090,3641,3292,3200,1668,1727,1903,2376,1348,89738,,,,,,,,,,,,,,,24536,22378,25027,29983,26848,26136,23611,25007,27962,27459,17726,119481
