Bilateral trade between France and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Direction générale des douanes et droits indirects statistics since January, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"               ITC calculations based on Eurostat statistics until January, 2013.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France's exports have been reported by France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,France's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,France's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,121295,101173,106996,124170,93677,115824,145170,120932,120018,105239,117090,138743,,,,,,,,,,,,,,,55039979,51988996,57725923,61328923,46183060,59659800,64510832,57522075,60316201,54416398,56979474,62505205
'300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...",22249,11968,16515,16781,13943,15389,17911,17541,17514,12658,18394,21597,,,,,,,,,,,,,,,1640518,1508344,1735224,1872378,1476945,1640976,1862936,1723767,1668712,1601942,1880135,2002450
'330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",4322,3667,2400,5255,2537,4388,5085,3499,4148,5553,4277,6466,,,,,,,,,,,,,,,874978,812213,859926,876328,723825,819888,903842,808762,856837,912500,897265,923473
'851890,"Parts of microphones, loudspeakers, headphones and earphones, earphones, audio-frequency electric ...",67,135,81,128,1,68,59,2,64,528,1320,5671,,,,,,,,,,,,,,,3853,2863,4012,2479,1972,1379,1791,2726,2864,4804,6368,8323
'722692,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, not further ...",2895,2370,2571,1993,0,2216,2278,2554,1951,2976,2960,3902,,,,,,,,,,,,,,,25881,26953,29726,39959,20537,21906,33678,28614,33667,24948,31393,33168
'300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",7078,666,1799,1708,52,1978,909,1999,3126,824,1289,3871,,,,,,,,,,,,,,,27078,21037,22120,30296,22910,25385,32730,26095,26611,21925,25260,31513
'847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,5,0,0,31,278,0,558,4,39,11,2,3814,,,,,,,,,,,,,,,67973,98792,141154,94721,120772,113456,163088,93680,152084,198270,243758,252504
'300242,Vaccines for veterinary medicine,1777,857,842,1409,422,2613,2033,2297,1799,2039,637,2953,,,,,,,,,,,,,,,53065,46371,43962,54195,45171,51534,50312,54294,49462,59552,55544,53948
'210690,"Food preparations, n.e.s.",1535,1361,633,771,1292,1473,1209,1314,2568,1229,1082,2855,,,,,,,,,,,,,,,208193,203177,205612,227273,181130,204735,220614,184233,192264,177746,193964,208983
'300241,Vaccines for human medicine,4074,2742,5426,3655,11023,7067,6311,9801,0,0,267,2820,,,,,,,,,,,,,,,152748,193418,219846,194398,395515,354417,235346,222045,110485,133452,269379,345787
'230990,Preparations of a kind used in animal feeding (excl. dog or cat food put up for retail sale),1644,1903,2280,1872,2052,2137,2799,2423,2483,2208,2575,2777,,,,,,,,,,,,,,,138058,117553,116469,135225,122303,138511,136538,131637,129531,138241,142572,157250
'261100,Tungsten ores and concentrates,1019,0,0,830,0,0,960,1308,0,844,2170,2563,,,,,,,,,,,,,,,1019,1,0,830,0,0,960,1308,0,844,2170,2563
'440399,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excl. rough-cut ...",2355,1864,2818,2346,826,565,1721,1418,2098,1265,2503,2180,,,,,,,,,,,,,,,9612,8240,8141,6878,4178,5495,7566,6871,9271,5815,8350,10161
'440391,"Oak ""Quercus spp."" in the rough, whether or not stripped of bark or sapwood, or roughly squared ...",457,819,534,293,190,91,1401,2155,1417,1160,1498,2028,,,,,,,,,,,,,,,12969,12720,11989,6822,1975,6765,17328,18806,18967,18804,20948,24367
'110710,Malt (excl. roasted),1948,1189,1466,2520,2031,1923,1636,1818,1444,1594,1529,1586,,,,,,,,,,,,,,,42964,53801,55019,43330,45659,46438,44298,48852,40582,46250,40289,50489
'220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",1317,1289,1503,1660,1801,1206,1955,1377,1987,1094,570,1382,,,,,,,,,,,,,,,727551,676509,697285,782365,444086,578742,742277,614256,564901,508544,589497,677547
'530130,"Flax tow and waste, incl. yarn waste and garnetted stock",658,313,472,609,0,0,0,0,0,0,1134,1297,,,,,,,,,,,,,,,15111,13425,16446,14204,4737,9277,11988,9691,10270,16919,23373,21263
'010511,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls)",318,913,696,495,758,783,1149,666,1395,690,1218,1283,,,,,,,,,,,,,,,18236,18168,21647,23430,26262,23396,28511,28741,26862,16835,21156,20115
'420221,"Handbags, whether or not with shoulder straps, incl. those without handles, with outer surface ...",1635,1080,1185,1258,1180,1231,1354,1378,860,966,1196,1254,,,,,,,,,,,,,,,550767,448601,499326,582529,408437,489954,591355,533233,632072,506677,598884,589705
'970191,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by ...",1797,78,0,3360,52,2,1337,0,1626,22,201,1211,,,,,,,,,,,,,,,70107,71737,74769,88610,25694,161609,41634,50094,128798,195328,83100,65673
'711319,"Articles of jewellery and parts thereof, of precious metal other than silver, whether or not ...",976,1414,2206,2530,1786,1207,2004,1280,3489,2660,1248,1203,,,,,,,,,,,,,,,635020,917833,737378,767964,448576,647194,742686,625374,632376,805881,660552,776733
'420229,"Handbags, whether or not with shoulder strap, incl. those without handle, with outer surface ...",661,686,368,21,315,661,664,209,527,857,585,1173,,,,,,,,,,,,,,,3850,3962,3528,5123,4259,5363,4432,3519,4568,6408,4507,4246
'300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...",1425,738,213,113,98,1000,593,378,1185,239,450,1156,,,,,,,,,,,,,,,575571,617344,797519,965662,836597,1031273,1023177,912529,1136915,958361,651742,527571
'841370,"Centrifugal pumps, power-driven (excl. those of subheading 8413.11 and 8413.19, fuel, lubricating ...",20,0,5,0,12,6,46,22,32,7,43,1026,,,,,,,,,,,,,,,69858,63120,81880,72537,68015,84470,85942,96387,81632,87929,82096,95044
'410419,"Hides and skins of bovine ""incl. buffalo"" or equine animals, in the wet state ""incl. wet-blue"", ...",0,0,0,0,0,0,514,360,882,748,668,1008,,,,,,,,,,,,,,,226,320,235,168,24,112,1373,410,1034,799,834,1094
'330300,"Perfumes and toilet waters (excl. aftershave lotions, personal deodorants and hair lotions)",328,554,371,898,1017,1106,1485,334,2182,799,920,984,,,,,,,,,,,,,,,703310,634533,796770,836773,757454,869229,930251,803253,712621,766126,715100,744500
'850300,"Parts suitable for use solely or principally with electric motors and generators, electric ...",522,560,244,817,388,786,946,775,653,968,690,980,,,,,,,,,,,,,,,43416,39180,46076,46207,32441,38479,41978,35497,39635,49302,55054,56790
'330210,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",799,964,670,656,486,587,583,398,824,166,537,901,,,,,,,,,,,,,,,96645,83063,99962,107062,78946,85435,93823,82455,73124,82157,92632,104791
'230110,"Flours, meals and pellets, of meat or offal, unfit for human consumption; greaves",284,211,526,344,252,551,592,579,714,620,543,802,,,,,,,,,,,,,,,9470,10449,10282,10184,9669,11144,10174,9886,12192,10179,9548,11813
'940360,"Wooden furniture (excl. for offices, kitchens and bedrooms, and seats)",15,4,0,19,0,74,70,84,40,42,1528,785,,,,,,,,,,,,,,,53254,57087,58519,62355,44464,50310,58945,54805,55923,46156,54992,67717
'300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...",473,2504,573,453,24,835,2805,120,67,575,1746,769,,,,,,,,,,,,,,,24331,23788,45773,54387,29354,24136,42939,56206,24604,32001,27505,44688
'330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",381,717,408,325,646,1040,521,874,312,464,412,702,,,,,,,,,,,,,,,232649,208912,214690,248678,198740,236357,253895,209953,213076,236155,247885,244028
'340130,"Organic surface-active products and preparations for washing the skin, in the form of liquid ...",1321,1449,1689,872,845,707,1084,1479,749,1487,1909,699,,,,,,,,,,,,,,,76575,67753,66856,62730,62744,70827,75382,73223,69033,79151,67647,71770
'040210,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",2250,517,651,62,141,15,1814,4195,2293,1187,628,673,,,,,,,,,,,,,,,59993,56846,48034,51798,50935,55025,67441,66537,55570,56784,60556,68045
'901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",522,273,960,653,544,680,746,387,539,383,729,640,,,,,,,,,,,,,,,116661,110879,128186,132232,100363,124822,158548,126945,144078,114312,136549,153110
'854149,Photosensitive semiconductor devices (excl. photovoltaic generators and cells),0,0,0,0,0,28,6,0,0,0,0,639,,,,,,,,,,,,,,,48339,62326,91174,94344,91905,91937,89273,89742,72030,83589,30145,28846
'080810,Fresh apples,44,84,82,81,115,57,1566,2535,2352,1315,1184,636,,,,,,,,,,,,,,,51853,40854,18001,14051,32391,40139,50214,55376,61922,61820,55394,56770
'220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",24,23,220,107,69,245,433,174,256,246,0,623,,,,,,,,,,,,,,,42302,39979,49627,55824,47812,50337,52457,43526,42743,49025,44798,55577
'847982,"Mixing, kneading, crushing, grinding, screening, sifting, homogenising, emulsifying or stirring ...",0,9,0,0,25,0,3,4,50,11,33,617,,,,,,,,,,,,,,,30115,24552,33519,34923,29604,28988,36393,28262,27139,26942,29499,34447
'940199,"Parts of seats, not of wood, n.e.s.",148,41,176,105,318,298,805,650,196,664,330,610,,,,,,,,,,,,,,,54628,50679,53060,56376,47867,67581,71461,56098,53786,53678,60635,62396
'300420,"Medicaments containing antibiotics, put up in measured doses ""incl. those for transdermal administration"" ...",991,833,3751,299,868,4016,2275,355,1704,2308,630,602,,,,,,,,,,,,,,,64340,56176,68466,80792,59175,74014,81133,73975,58194,65001,63810,82163
'420299,"Travelling-bags, shopping or tool bags, jewellery boxes, cutlery cases and similar, with outer ...",6,48,152,1,1,3,0,28,37,137,197,599,,,,,,,,,,,,,,,5557,5984,7149,6755,5279,6755,5175,4966,4056,4623,4285,6687
'880720,"Under-carriages and parts thereof, for aircraft, n.e.s.",132,705,711,367,503,478,453,495,514,474,579,589,,,,,,,,,,,,,,,203025,159998,175624,206077,169366,229280,220006,198845,196532,182449,199203,197734
'470710,"Recovered ""waste and scrap"" paper or paperboard of unbleached kraft paper, corrugated paper ...",688,134,751,1851,2264,2317,2125,2797,2203,1021,812,584,,,,,,,,,,,,,,,21442,20347,21138,20858,20633,22836,22152,17366,22239,16485,19277,21900
'382219,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",372,281,551,247,291,334,940,288,679,422,177,557,,,,,,,,,,,,,,,147701,140469,154645,146605,128355,155069,169780,160262,169962,134639,134472,162177
'853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",188,285,1229,680,835,153,307,465,309,523,204,555,,,,,,,,,,,,,,,206875,147112,249060,191488,144050,200713,222913,176046,228009,195911,197096,282122
'200410,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid, frozen",374,687,639,309,442,336,141,225,369,776,723,546,,,,,,,,,,,,,,,86954,88712,93754,103384,97398,101348,87138,83917,85471,76429,77117,95142
'760719,"Aluminium foil, not backed, rolled and further worked, of a thickness of <= 2 mm (excl. stamping ...",233,58,196,511,133,0,14,527,118,455,251,534,,,,,,,,,,,,,,,7230,5548,6137,7079,3463,6727,6359,6912,7605,4507,7723,5910
'540741,"Woven fabrics of yarn containing >= 85% by weight of filaments of nylon or other polyamides, ...",89,97,83,288,80,193,347,270,80,336,663,517,,,,,,,,,,,,,,,1000,941,1182,1281,228,742,869,1150,607,959,1211,1240
'903039,"Instruments and apparatus for measuring or checking voltage, current, resistance or electrical ...",144,79,144,65,0,32,101,11,11,0,85,494,,,,,,,,,,,,,,,5001,5710,5777,4751,3418,6500,6083,8007,7324,3770,3866,6662
'040690,"Cheese (excl. fresh cheese, incl. whey cheese, curd, processed cheese, blue-veined cheese and ...",683,429,430,453,344,398,531,341,373,285,635,489,,,,,,,,,,,,,,,250036,238267,239964,257232,239168,272098,308078,312209,334661,244997,238512,263874
'730810,"Bridges and bridge-sections, of iron or steel",0,0,0,0,0,0,0,0,187,0,9,471,,,,,,,,,,,,,,,6445,2383,4145,4418,3246,3505,4387,2256,2608,2582,690,4150
'540742,"Woven fabrics of filament yarn containing >= 85% nylon or other polyamides by weight, incl. ...",201,127,238,355,7,112,432,96,83,244,129,469,,,,,,,,,,,,,,,2902,2263,3355,2957,810,2336,3134,2605,2823,2874,2486,3172
'300431,"Medicaments containing insulin but not antibiotics, put up in measured doses ""incl. those for ...",0,0,0,302,0,591,433,0,0,0,0,465,,,,,,,,,,,,,,,105283,177484,149035,315737,149140,458970,18108,22537,17233,30227,37120,34580
'040221,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",241,484,371,256,385,776,897,256,259,435,546,457,,,,,,,,,,,,,,,20704,18996,17247,20393,16283,19032,18622,19424,19775,16353,16253,20003
'130219,"Vegetable saps and extracts (excl. liquorice, hops, opium and ephedra)",308,135,69,233,377,456,449,564,560,308,214,450,,,,,,,,,,,,,,,40944,34709,33681,38947,25040,33426,34347,29619,31671,33972,34773,37593
'220820,Spirits obtained by distilling grape wine or grape marc,1712,1406,451,12,414,88,332,204,20,0,0,439,,,,,,,,,,,,,,,294438,167304,244716,245202,221854,261235,255341,179568,216356,203015,193142,233208
'903190,"Parts and accessories for instruments, appliances and machines for measuring and checking, ...",108,122,134,426,33,97,151,162,105,98,214,431,,,,,,,,,,,,,,,12376,12823,18785,15655,13127,14485,35272,15315,23677,13520,12239,20378
'850490,"Parts of electrical transformers and inductors, n.e.s.",182,179,259,503,196,773,730,412,457,581,446,431,,,,,,,,,,,,,,,21087,23265,23055,27877,19570,28101,36054,25897,34993,18856,28235,23668
'902131,Artificial joints for orthopaedic purposes,157,72,842,241,431,245,195,281,565,370,464,429,,,,,,,,,,,,,,,64786,56632,63228,69474,43758,59148,66327,56399,51534,60081,58738,59562
'190110,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",2153,2276,1086,1392,942,774,745,2,376,1925,1073,416,,,,,,,,,,,,,,,94510,104126,107261,96944,82177,80852,104710,86316,112560,83003,87498,113402
'841191,"Parts of turbojets or turbopropellers, n.e.s.",93,59,9,90,85,23,87,2,55,7,29,413,,,,,,,,,,,,,,,1074198,951483,986929,1215927,1036475,1068991,1190456,1058545,1049886,1101986,1102873,1280796
