Bilateral trade between Greece and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Eurostat statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece's exports have been reported by Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Greece's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Greece's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,5873,6693,6307,8686,2840,7788,5545,6981,7542,4443,4538,7495,,,,,,,,,,,,,,,4298069,4733182,4557631,5107115,3910820,5007313,4974060,4722434,4858957,4264923,4634860,5709581
'300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...",2406,3072,1336,3584,1677,3481,1449,1580,2887,1987,1000,3674,,,,,,,,,,,,,,,213057,185712,172725,240511,99881,240412,215902,195802,193072,200088,196358,267480
'300420,"Medicaments containing antibiotics, put up in measured doses ""incl. those for transdermal administration"" ...",1134,1754,1574,1816,151,1798,887,2633,1811,637,1436,803,,,,,,,,,,,,,,,16978,20181,15829,19089,13149,22528,24190,23635,16315,15801,17381,17559
'330290,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, based on one or ...",383,386,0,312,0,6,194,0,0,803,0,594,,,,,,,,,,,,,,,1564,1406,2354,1558,972,2060,1017,592,1900,1835,1097,1709
'251990,"Fused magnesia; dead-burned ""sintered"" magnesia, whether or not containing small quantities ...",43,21,44,67,44,111,53,110,22,45,22,285,,,,,,,,,,,,,,,5161,4915,4957,3494,4468,4600,6301,3759,5371,2255,3795,4938
'520100,"Cotton, neither carded nor combed",0,66,1028,544,327,0,0,0,290,0,0,279,,,,,,,,,,,,,,,36154,24817,16545,12385,9103,11409,40339,49344,33004,34763,46590,41395
'281700,Zinc oxide; zinc peroxide,0,0,0,0,0,0,0,0,51,0,0,156,,,,,,,,,,,,,,,700,935,1123,1104,221,1206,1368,1538,1238,1239,845,1932
'902890,"Parts and accessories for gas, liquid or electricity supply or production meters, n.e.s.",21,121,113,506,0,117,3,131,111,84,495,144,,,,,,,,,,,,,,,2114,2186,3379,2947,2000,3341,3552,2145,2624,3236,4237,3530
'902830,"Electricity supply or production meters, incl. calibrating meters therefor",0,0,0,6,13,116,7,0,0,0,0,138,,,,,,,,,,,,,,,14108,18398,14855,17532,12564,20509,22757,21354,14093,24134,21572,20850
'853340,"Electrical variable resistors, incl. rheostats and potentiometers (excl. wirewound variable ...",179,104,49,108,19,41,90,25,551,165,25,133,,,,,,,,,,,,,,,2102,521,964,1078,653,1056,926,911,1431,1138,500,1052
'200870,"Peaches, incl. nectarines, prepared or preserved, whether or not containing added sugar or ...",137,27,149,113,56,192,103,134,101,109,0,112,,,,,,,,,,,,,,,34260,30736,27371,31959,27505,36180,38044,31214,30546,23550,30342,32619
'330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",70,95,123,133,35,110,130,88,235,9,122,90,,,,,,,,,,,,,,,25739,25392,24831,28072,14394,18787,23143,26876,20761,24019,27231,30580
'760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",0,0,282,0,0,0,0,0,68,68,0,89,,,,,,,,,,,,,,,115107,117144,115704,131565,107542,124513,125244,122252,108758,126496,136485,141598
'490199,"Printed books, brochures and similar printed matter (excl. those in single sheets; dictionaries, ...",0,5,33,2,0,26,5,0,22,0,2,85,,,,,,,,,,,,,,,2685,5506,7668,7818,5430,4244,3877,3128,2610,2134,2262,3522
'380899,Rodenticides and other plant protection products put up for retail sale or as preparations ...,0,0,0,0,36,0,0,0,0,0,0,74,,,,,,,,,,,,,,,259,574,396,448,113,177,393,108,150,109,199,398
'901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",15,26,0,30,0,1,83,1,23,32,92,70,,,,,,,,,,,,,,,3892,3484,2642,3672,2252,4650,2927,3460,5260,2381,4235,3382
'150920,"Extra virgin olive oil ""EU cat. 1"" obtained from the fruit of the olive tree solely by mechanical ...",25,0,28,58,28,63,0,155,83,0,49,64,,,,,,,,,,,,,,,74049,76308,77903,85690,52779,84463,81776,85757,67928,65135,69128,75901
'382219,"Diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents ...",45,26,23,66,0,81,0,58,84,21,32,59,,,,,,,,,,,,,,,1377,1775,1715,1816,1236,1874,1926,2135,1939,1849,2358,2739
'300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...",71,0,0,0,0,0,128,167,0,0,0,57,,,,,,,,,,,,,,,16555,20264,16361,29132,11051,20668,23838,19099,12317,23747,8070,7401
'680221,"Marble, travertine and alabaster articles thereof, simply cut or sawn, with a flat or even ...",0,75,33,0,15,16,15,20,0,31,0,55,,,,,,,,,,,,,,,13849,13617,14735,18169,14650,14954,16919,12564,16293,8744,10874,8717
'901839,"Needles, catheters, cannulae and the like, used in medical, surgical, dental or veterinary ...",0,0,14,0,3,15,0,8,27,0,11,48,,,,,,,,,,,,,,,3769,3185,3000,3601,2486,2620,3512,2753,3719,2404,3077,2515
'380861,"Goods of heading 3808, containing alpha-cypermethrin ""ISO"", bendiocarb ""ISO"", bifenthrin ""ISO"", ...",0,0,0,0,0,0,0,0,0,0,0,42,,,,,,,,,,,,,,,782,523,1741,785,123,810,1046,832,524,290,1699,1114
'151790,Edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of ...,52,0,48,50,0,47,0,88,35,0,0,41,,,,,,,,,,,,,,,619,946,781,716,680,699,776,826,582,862,660,729
'760421,"Hollow profiles of aluminium alloys, n.e.s.",0,33,0,2,0,16,0,0,0,0,0,36,,,,,,,,,,,,,,,7105,6668,6951,555,174,258,178,294,221,4975,7852,7011
'300410,"Medicaments containing penicillins or derivatives thereof with a penicillanic acid structure, ...",0,0,0,0,0,0,0,33,0,0,0,31,,,,,,,,,,,,,,,402,569,264,741,188,512,417,681,591,172,253,692
'330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",0,0,0,20,0,0,0,0,0,0,20,29,,,,,,,,,,,,,,,1646,1582,2066,2001,1318,2243,1824,1876,1430,1011,1651,1702
'680520,"Natural or artificial abrasive powder or grain, on a base of paper or paperboard only, whether ...",0,0,0,0,0,0,26,0,0,0,0,27,,,,,,,,,,,,,,,2404,2361,2363,2944,1841,3203,3379,2735,2106,1667,1759,2188
'300670,Gel preparations designed to be used in human or veterinary medicine as a lubricant for parts ...,0,0,33,0,0,0,0,0,35,0,30,24,,,,,,,,,,,,,,,150,255,117,317,121,48,278,78,246,184,119,302
'410719,"Leather ""incl. parchment-dressed leather"" of the whole hides and skins of bovine ""incl. buffalo"" ...",0,0,4,9,18,1,0,0,0,6,34,22,,,,,,,,,,,,,,,66,30,10,14,19,42,32,87,20,196,85,93
'330690,"Preparations for oral or dental hygiene, incl. denture fixative pastes and powders (excl. dentifrices ...",0,0,0,0,0,0,0,0,0,0,0,22,,,,,,,,,,,,,,,609,720,720,377,195,1118,758,399,281,355,765,1066
'842490,"Parts of fire extinguishers, spray guns and similar appliances, steam or sand blasting machines ...",0,7,0,0,0,0,0,0,0,3,0,21,,,,,,,,,,,,,,,4121,3419,2625,3068,1600,2750,2569,2631,1889,3119,2792,2987
'842230,"Machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; ...",0,0,0,0,0,0,0,0,0,0,0,17,,,,,,,,,,,,,,,942,46,1821,65,120,262,69,350,1092,76,1061,715
'845150,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",0,0,224,0,0,0,0,0,0,0,0,16,,,,,,,,,,,,,,,103,235,586,54,151,1,40,4,119,172,20,202
'310520,"Mineral or chemical fertilisers containing the three fertilising elements nitrogen, phosphorus ...",26,0,0,0,0,18,0,15,16,0,34,16,,,,,,,,,,,,,,,6896,8248,5652,3478,2942,3901,7099,7300,11048,6442,8605,11284
'440792,"Beech ""Fagus spp."", sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...",41,89,0,109,0,0,89,0,0,0,0,13,,,,,,,,,,,,,,,57,338,4,110,0,40,114,0,187,36,8,290
'841391,"Parts of pumps for liquids, n.e.s.",4,0,10,0,6,0,0,2,4,0,0,11,,,,,,,,,,,,,,,554,620,584,798,523,544,734,753,735,619,347,363
'680530,"Natural or artificial abrasive powder or grain, on a base of materials other than woven textile ...",0,0,0,0,0,0,12,0,0,0,0,11,,,,,,,,,,,,,,,830,512,651,933,341,616,653,866,595,402,455,848
'901920,"Ozone therapy, oxygen therapy, aerosol therapy, artificial respiration or other therapeutic ...",54,43,104,89,0,0,0,0,15,0,8,10,,,,,,,,,,,,,,,831,504,769,1038,689,634,655,514,1216,696,587,1110
'847989,"Machines and mechanical appliances, n.e.s.",0,0,0,38,2,0,5,0,0,0,0,10,,,,,,,,,,,,,,,1222,3705,7971,1241,482,958,1329,1762,804,625,1715,1442
'300610,"Sterile surgical catgut, similar sterile suture materials, incl. sterile absorbable surgical ...",0,0,0,1,10,0,3,19,0,0,1,9,,,,,,,,,,,,,,,828,852,1074,834,1137,693,943,874,866,596,1097,1237
'842482,"Agricultural or horticultural mechanical appliances, whether or not hand-operated, for projecting ...",0,0,0,0,0,0,29,0,0,0,0,9,,,,,,,,,,,,,,,2584,2725,1974,1945,731,1575,1338,1532,1336,1066,2227,1938
'903180,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",0,0,0,0,0,4,0,0,0,0,0,8,,,,,,,,,,,,,,,986,5105,714,1007,1347,695,970,2106,1068,820,801,1128
'841480,"Air pumps, air or other gas compressors and ventilating or recycling hoods incorporating a ...",0,0,0,0,0,68,0,0,0,0,0,8,,,,,,,,,,,,,,,516,789,401,442,526,315,547,406,384,224,447,300
'330590,"Preparations for use on the hair (excl. shampoos, preparations for permanent waving or straightening ...",18,0,0,0,38,0,0,38,0,0,11,8,,,,,,,,,,,,,,,5085,5952,7493,7347,5232,6573,4700,5609,5312,3565,6426,6735
'382290,Certified reference materials,20,15,21,0,0,2,0,29,0,0,29,8,,,,,,,,,,,,,,,982,766,751,1141,634,1047,891,1052,856,1542,723,739
'840999,Parts suitable for use solely or principally with compression-ignition internal combustion ...,13,25,48,60,2,5,3,0,0,5,42,7,,,,,,,,,,,,,,,17433,16964,16419,17576,12781,15565,15338,15886,16892,16229,14012,17751
'848210,Ball bearings,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,,,,290,311,520,315,315,346,303,219,241,353,249,303
'470710,"Recovered ""waste and scrap"" paper or paperboard of unbleached kraft paper, corrugated paper ...",35,0,0,0,103,31,47,0,170,185,58,5,,,,,,,,,,,,,,,3677,3757,3242,4107,3057,3753,3228,3730,2536,2557,3692,3580
'903290,"Parts and accessories for regulating or controlling instruments and apparatus, n.e.s.",0,2,8,0,1,0,0,0,0,0,0,4,,,,,,,,,,,,,,,522,823,638,702,526,544,576,502,580,421,434,409
'200570,"Olives, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)",1,0,0,0,0,2,0,4,6,10,0,3,,,,,,,,,,,,,,,74390,82674,79448,90489,51037,71437,76564,67389,66504,60713,68200,78987
'848390,"Toothed wheels, chain sprockets and other transmission elements presented separately; parts ...",2,0,0,0,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,373,334,242,324,199,329,313,298,241,339,373,403
