Bilateral trade between Hungary and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Eurostat statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary's exports have been reported by Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Hungary's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Hungary's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,7181,11833,12396,8083,5257,8909,13433,11838,9687,7199,12607,13924,,,,,,,,,,,,,,,14153784,14206306,14548720,14412402,12107575,15692934,15273699,14844830,12961748,14027996,15638976,16971693
'300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...",1555,1388,3897,1014,370,1162,1511,3284,2495,442,3539,4068,,,,,,,,,,,,,,,418259,452899,442099,423165,373369,431159,469754,444421,474616,441450,505222,526155
'950300,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; ...",267,392,513,299,204,393,375,409,210,822,882,2331,,,,,,,,,,,,,,,79031,91620,80568,72859,99184,118922,112022,110791,81636,98211,97084,104520
'853669,Plugs and sockets for a voltage <= 1.000 V (excl. lamp holders),4,2,4,1,7,1,65,104,167,516,1033,816,,,,,,,,,,,,,,,64053,64748,65775,53673,47601,66405,62086,57518,40447,56474,64163,63323
'020714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,71,589,554,555,567,710,813,616,392,793,819,670,,,,,,,,,,,,,,,11549,13620,13323,13134,13403,15001,14568,14098,12393,15665,14886,13644
'330499,"Beauty or make-up preparations and preparations for the care of the skin (other than medicaments), ...",0,16,58,0,48,0,73,233,137,401,0,412,,,,,,,,,,,,,,,18680,18389,17304,16286,14412,16320,17943,15395,15984,16380,19188,19100
'392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excl. ...",218,270,226,231,294,376,350,419,434,297,379,346,,,,,,,,,,,,,,,81867,82695,79753,78045,62537,77342,84404,76513,59172,73119,75159,83327
'999999,Commodities not elsewhere specified,151,227,226,141,210,126,349,201,202,262,241,273,,,,,,,,,,,,,,,697475,719156,732549,1076733,1067180,1243542,1330912,1399730,1370165,1211607,1158290,1245669
'300439,"Medicaments containing hormones or steroids used as hormones but not antibiotics, put up in ...",68,251,0,429,0,153,0,43,114,0,65,269,,,,,,,,,,,,,,,17678,25504,29753,18131,16091,19198,18866,22988,21464,23628,23686,31452
'854720,"Insulating fittings for electrical purposes, of plastics",0,0,0,0,0,0,0,0,0,265,33,252,,,,,,,,,,,,,,,27075,25885,25892,24804,19649,29136,30335,26375,19305,27114,26882,28523
'847330,Parts and accessories of automatic data-processing machines or for other machines of heading ...,8,2,1,1,1,4,48,0,411,147,342,247,,,,,,,,,,,,,,,44935,25509,22297,19623,14244,17886,19676,21869,17663,22734,19588,47432
'300660,"Chemical contraceptive preparations based on hormones, prostaglandins, thromboxanes, leukotrienes, ...",595,439,347,452,0,118,1139,315,28,0,276,242,,,,,,,,,,,,,,,32108,30988,35555,30504,24255,26426,20652,37501,23879,23015,31044,45642
'481159,"Paper and paperboard, surface-coloured, surface-decorated or printed, coated, impregnated or ...",17,324,209,40,36,139,130,121,60,371,201,184,,,,,,,,,,,,,,,12025,10982,10390,11757,10006,11740,11626,12931,12761,13658,17471,18775
'294190,"Antibiotics (excl. penicillins and their derivatives with a penicillanic acid structure, salts ...",0,373,3,0,166,162,0,0,107,0,354,170,,,,,,,,,,,,,,,6166,6098,11952,4939,8496,5998,4088,7870,9523,4741,4311,10889
'293911,"Concentrates of poppy straw; buprenorphine ""INN"", codeine, dihydrocodeine ""INN"", ethylmorphine, ...",0,0,0,0,0,0,0,0,0,24,0,145,,,,,,,,,,,,,,,0,322,1176,230,402,244,711,258,2,232,0,230
'854239,"Electronic integrated circuits (excl. such as processors, controllers, memories and amplifiers)",234,31,272,47,9,88,241,214,122,106,19,136,,,,,,,,,,,,,,,11601,20855,12104,6806,5995,8038,4909,8112,5452,9182,7336,12541
'854129,Transistors with a dissipation rate >= 1 W (excl. photosensitive transistors),2,0,13,2,0,0,3,1,0,0,8,131,,,,,,,,,,,,,,,37837,34034,37893,42512,45564,45432,39739,36836,34235,41845,38105,36069
'240319,"Smoking tobacco, whether or not containing tobacco substitutes in any proportion (excl. water-pipe ...",178,289,68,183,47,135,0,0,0,162,152,127,,,,,,,,,,,,,,,16405,18678,15524,20774,17191,15749,16394,13629,12055,15328,15353,16424
'854442,"Electric conductors for a voltage <= 1.000 V, insulated, fitted with connectors, n.e.s.",78,67,68,74,59,109,109,144,118,97,99,126,,,,,,,,,,,,,,,65501,64975,75179,64511,58195,79057,79271,69930,55030,73294,75780,73391
'853890,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ...",0,0,0,0,0,0,0,0,25,117,70,123,,,,,,,,,,,,,,,57548,59551,58926,50314,41679,51715,51630,51053,39252,51035,57337,59215
'870322,Motor cars and other motor vehicles principally designed for the transport of ...,24,269,74,0,0,0,0,0,0,0,194,121,,,,,,,,,,,,,,,199059,253287,279404,245223,119673,217417,154491,94557,89318,44822,49119,54979
'210690,"Food preparations, n.e.s.",13,275,94,62,104,50,5,26,113,0,76,120,,,,,,,,,,,,,,,42716,43703,46345,50173,43037,45504,47730,49731,54273,46559,47624,48381
'470692,"Chemical pulp of fibrous cellulosic material (excl. that of bamboo, wood, cotton linters and ...",175,1007,402,528,28,131,365,398,28,345,95,117,,,,,,,,,,,,,,,2625,4068,3446,3858,3716,3014,2957,2666,2113,3035,3623,4266
'850450,Inductors (excl. inductors for discharge lamps or tubes),14,175,87,5,1,136,78,135,8,9,19,96,,,,,,,,,,,,,,,13799,13855,13386,13514,12853,13814,13249,13684,11009,14615,13818,14760
'761699,"Articles of aluminium, n.e.s.",67,0,46,26,4,4,19,7,36,4,4,94,,,,,,,,,,,,,,,30055,31373,28750,30877,21285,31523,28434,27476,20066,28447,29675,32864
'901890,"Instruments and appliances used in medical, surgical or veterinary sciences, n.e.s.",48,48,1,14,65,35,0,26,0,46,20,94,,,,,,,,,,,,,,,22854,23035,23493,20612,15787,27323,27508,27640,19394,26234,29436,29210
'902680,"Instruments or apparatus for measuring or checking variables of liquids or gases, n.e.s.",117,180,171,157,167,35,166,85,76,32,51,94,,,,,,,,,,,,,,,3569,3680,3923,3785,2494,2940,3215,3322,2387,3150,3676,4635
'902139,Artificial parts of the body (excl. artificial teeth and dental fittings and artificial joints),98,98,273,148,103,86,119,206,226,0,148,86,,,,,,,,,,,,,,,2938,2669,2763,3236,1817,2870,3241,3029,2836,2286,2940,3070
'470710,"Recovered ""waste and scrap"" paper or paperboard of unbleached kraft paper, corrugated paper ...",0,0,0,0,0,64,100,0,0,0,0,84,,,,,,,,,,,,,,,1782,1793,1660,1079,1154,1580,1889,1119,1013,1061,1317,1338
'853400,Printed circuits,38,26,284,23,5,86,59,66,13,31,2,82,,,,,,,,,,,,,,,16946,16668,16949,17471,15032,17369,15800,26738,16255,14778,16011,17919
'851762,"Machines for the reception, conversion and transmission or regeneration of voice, images or ...",1,25,76,4,25,3,57,37,125,2,13,80,,,,,,,,,,,,,,,174430,148208,154070,133377,106519,161545,136144,140776,180447,141686,224642,216771
'610520,"Men's or boys' shirts of man-made fibres, knitted or crocheted (excl. nightshirts, T-shirts, ...",0,0,0,0,0,0,0,0,0,0,0,77,,,,,,,,,,,,,,,82,101,140,71,82,76,79,54,28,52,43,162
'330790,"Depilatories and other perfumery, toilet or cosmetic preparations, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,76,,,,,,,,,,,,,,,1583,1839,1764,2259,1364,1645,1518,1681,1530,1601,1464,1519
'392310,"Boxes, cases, crates and similar articles for the conveyance or packaging of goods, of plastics",19,26,30,19,14,26,48,30,13,51,37,72,,,,,,,,,,,,,,,10383,9026,9083,9536,8364,10091,11716,13720,10347,11294,12926,11053
'590390,"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""vinyl ...",0,0,0,0,0,0,0,0,0,7,0,70,,,,,,,,,,,,,,,1635,1354,929,878,464,551,1546,592,784,931,1037,1612
'284443,"Radioactive elements and isotopes and compounds; alloys, dispersions incl. cermets, ceramic ...",0,0,0,0,0,0,0,0,0,72,22,69,,,,,,,,,,,,,,,757,861,1271,762,858,1096,951,1728,694,1076,919,1147
'300449,"Medicaments containing alkaloids or derivatives thereof, not containing hormones, steroids ...",122,43,46,0,0,0,173,41,0,0,57,64,,,,,,,,,,,,,,,6763,7952,9332,5169,8279,6802,7387,15455,16120,5607,6614,5262
'300420,"Medicaments containing antibiotics, put up in measured doses ""incl. those for transdermal administration"" ...",37,46,92,43,43,94,78,0,75,52,41,64,,,,,,,,,,,,,,,8038,6746,5610,4700,4151,5410,4882,3721,5308,3751,3875,3987
'440399,"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excl. rough-cut ...",0,299,0,74,0,0,0,0,36,0,0,61,,,,,,,,,,,,,,,3049,3400,2923,2662,2022,2720,2893,3317,2519,2292,2993,4021
'020649,"Edible offal of swine, frozen (excl. livers)",158,0,0,0,0,0,356,386,73,96,89,61,,,,,,,,,,,,,,,1051,883,1342,1385,1399,1336,2396,1968,1016,993,1291,1162
