Bilateral trade between Switzerland and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Administration fédérale des douanes (AFD) de Suisse statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland's exports have been reported by Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Switzerland's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Switzerland's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,60474,60349,60653,127998,43855,58462,56032,52430,66772,79160,48252,53697,,,,,,,,,,,,,,,43830693,40047475,45401877,44937544,35969435,49611333,52533731,46483638,47093222,51160361,49271298,56840888
'300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...",3369,7940,6310,12765,5543,7202,10804,4045,3756,19236,8431,7003,,,,,,,,,,,,,,,4034604,2901472,4077573,3142130,2821407,3464288,3451950,3131000,2564956,3395391,2470175,4453179
'300215,"Immunological products, put up in measured doses or in forms or packings for retail sale (excl. ...",3376,14761,6730,16395,6132,10385,4727,5341,9188,8951,3034,6705,,,,,,,,,,,,,,,5281815,4665720,4816260,4669797,4569780,4755294,5172955,5215407,3459908,4730993,5339691,4269141
'854239,"Electronic integrated circuits (excl. such as processors, controllers, memories and amplifiers)",2268,2697,1552,2267,2349,3306,3962,3707,4873,5563,2119,3612,,,,,,,,,,,,,,,33987,32444,33273,39931,27473,31959,37743,33001,31219,36838,29865,39713
'854231,"Electronic integrated circuits as processors and controllers, whether or not combined with ...",10741,6879,5197,7272,6149,5844,7327,5757,5624,7508,2980,3393,,,,,,,,,,,,,,,51964,47046,45227,45123,39012,44616,51786,46796,43380,40860,46307,41551
'321519,"Printing ink, whether or not concentrated or solid (excl. black ink)",677,106,3,15,0,2,578,2481,2942,6964,3077,3378,,,,,,,,,,,,,,,39043,48902,40440,52067,52821,43346,48908,53498,51744,54575,59524,60796
'831110,"Coated electrodes of base metal, for electric arc-welding",0,0,1,0,0,0,0,0,0,0,0,2185,,,,,,,,,,,,,,,153,77,79,71,50,132,60,42,65,66,144,2221
