Bilateral trade between Thailand and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on The customs department of the kingdom of Thailand statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand's exports have been reported by Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Thailand's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Thailand's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,909774,1077535,1061200,1085553,1124294,1107604,1112462,1056778,1093597,1124545,1015487,1260564,,,,,,,,,,,,,,,25236096,31081775,28743009,28587530,27345930,31204421,27918074,27451735,29407307,31228398,29169864,33617179
'841510,"Air conditioning machines designed to be fixed to a window, wall, ceiling or floor, self-contained ...",71614,55327,26276,19053,17054,21316,21069,13390,32892,62395,75062,98464,,,,,,,,,,,,,,,429896,445152,349337,356008,288227,307325,275628,276781,418244,515224,568080,586156
'271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",11692,19473,34474,27835,43790,45123,64759,50621,34775,50606,10628,89336,,,,,,,,,,,,,,,410858,376628,443724,312307,536215,396859,476818,387386,420514,560543,338626,542402
'740811,"Wire of refined copper, with a maximum cross-sectional dimension of > 6 mm",44366,46773,43385,42366,44092,47573,38078,40974,45691,45935,43986,52183,,,,,,,,,,,,,,,61620,62754,59868,67795,61885,60053,53188,56345,59406,70678,63963,70855
'220210,"Waters, incl. mineral and aerated, with added sugar, sweetener or flavour, for direct consumption ...",31291,41032,42315,29459,35574,34786,29969,39538,35221,36625,29120,45304,,,,,,,,,,,,,,,72803,81107,74274,59752,60879,61267,54857,63769,57106,61127,52363,76217
'853710,"Boards, cabinets and similar combinations of apparatus for electric control or the distribution ...",16167,14515,12181,23454,34308,35839,34110,22225,21570,28826,24498,22602,,,,,,,,,,,,,,,262665,304198,302580,279266,321143,370626,322737,365410,387990,343401,339551,383575
'847170,Storage units for automatic data-processing machines,3841,4880,5081,7752,11901,2941,10203,11816,18611,18983,15342,21980,,,,,,,,,,,,,,,815538,1162818,1196101,754899,852037,1027253,991579,840527,1031086,982363,881609,1002011
'010229,Live cattle (excl. pure-bred for breeding),4721,2205,7355,10599,10060,11586,8995,8904,10161,11200,13035,21832,,,,,,,,,,,,,,,9216,4595,9785,15889,19406,17890,14758,17042,18977,23777,17263,26910
'010231,Pure-bred buffalo for breeding,5808,2377,10142,9663,7105,9463,8001,6283,8977,9381,13506,21373,,,,,,,,,,,,,,,6987,2650,11320,11685,11157,12700,11399,9219,11465,12689,13827,21785
'870421,"Motor vehicles for the transport of goods, with only compression-ignition internal combustion ...",10811,19479,11496,18855,23470,25768,17239,20217,15515,29946,41726,17295,,,,,,,,,,,,,,,445130,695789,451753,681514,825566,852325,792291,823367,897212,738523,960753,969590
'760612,"Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular ...",9720,15840,16134,12687,15206,19650,24899,20497,16947,16627,13573,14908,,,,,,,,,,,,,,,61415,71384,65467,71890,81513,80155,73398,70763,84714,77695,74211,74089
'010221,Pure-bred cattle for breeding,3342,1141,4942,6821,5328,6484,6893,4453,7236,7410,12637,12977,,,,,,,,,,,,,,,4761,1621,7119,9512,11330,10449,10773,6234,8275,8154,12739,13045
'400122,"Technically specified natural rubber ""TSNR""",8148,16564,15833,12752,13280,10677,14801,19623,22319,16110,10945,12723,,,,,,,,,,,,,,,245843,240658,208433,220117,181992,190080,213016,201021,268675,215176,236325,222742
'890400,Tugs and pusher craft,0,15396,4519,1452,4265,10704,0,1002,0,4345,0,11505,,,,,,,,,,,,,,,15654,24945,4519,35703,38701,77069,41576,57691,10633,8500,20132,11505
'853400,Printed circuits,10028,9377,9141,10087,12782,11857,13328,12627,13364,12363,13566,11265,,,,,,,,,,,,,,,115466,126052,126148,129535,130970,154979,147558,137665,151477,150323,143016,170405
'410799,"Leather ""incl. parchment-dressed leather"" of the portions, strips or sheets of hides and skins ...",15440,14884,16451,17247,13259,14189,10466,8273,8366,10036,10536,11050,,,,,,,,,,,,,,,28913,28714,29178,28131,25956,26065,23765,18477,20826,21326,19693,22124
