Bilateral trade between Türkiye and Viet Nam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources: ITC calculations based on Turkish Statistical Institute (TURKSTAT) statistics.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bilateral trade data have been reported by Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Türkiye's exports have been reported by Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product code,Product label,Türkiye's exports to Viet Nam,,,,,,,,,,,,Viet Nam's imports from world,,,,,,,,,,,,,Türkiye's exports to world,,,,,,,,,,,,
,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03,,Value in 2025-M04,Value in 2025-M05,Value in 2025-M06,Value in 2025-M07,Value in 2025-M08,Value in 2025-M09,Value in 2025-M10,Value in 2025-M11,Value in 2025-M12,Value in 2026-M01,Value in 2026-M02,Value in 2026-M03
'TOTAL,All products,48700,44928,30657,38284,34963,36366,36491,43917,44488,32363,38098,40174,,,,,,,,,,,,,,,20779896,24816585,20468715,24910627,21702597,22547086,23952925,22513735,26372991,20322410,21005675,21899038
'020714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,1193,1993,1128,1401,1848,1593,1698,1810,1967,1456,2023,5671,,,,,,,,,,,,,,,22924,34613,28763,37428,29800,22635,29668,27760,37152,28491,18779,12482
'848180,"Appliances for pipes, boiler shells, tanks, vats or the like (excl. pressure-reducing valves, ...",38,81,168,1071,39,93,816,34,127,930,58,3858,,,,,,,,,,,,,,,54291,58160,44722,61285,54960,51334,55742,47348,55290,44060,44983,47100
'520299,"Cotton waste (excl. yarn waste, thread waste and garnetted stock)",1959,1254,144,1221,374,887,1573,1288,1927,1170,1468,3701,,,,,,,,,,,,,,,9283,6976,7177,8712,7059,6790,7468,5214,6050,5432,6245,8281
'520100,"Cotton, neither carded nor combed",2751,4793,3894,3080,408,2796,1948,6738,2505,3039,6929,2248,,,,,,,,,,,,,,,41466,32241,36816,41917,34525,21983,18572,46250,45624,38989,38650,35405
'050400,"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ...",1697,2182,2677,2330,2306,2437,1827,1286,2130,1589,2918,2151,,,,,,,,,,,,,,,7386,6741,6523,7233,6642,5442,4984,3806,4760,4087,5472,5023
'870829,"Parts and accessories of bodies for tractors, motor vehicles for the transport of ten or more ...",1302,927,393,965,761,782,41,71,577,1139,1341,1563,,,,,,,,,,,,,,,125328,147231,126941,134676,115274,149564,155774,139272,129471,144245,142609,134963
'854449,"Electric conductors, for a voltage <= 1.000 V, insulated, not fitted with connectors, n.e.s.",586,118,145,726,1067,731,409,18,1383,117,645,932,,,,,,,,,,,,,,,223645,262355,210860,266593,237754,264463,261174,238117,272275,241604,258797,270538
'999999,Commodities not elsewhere specified,822,928,624,671,731,338,635,7224,3890,668,724,774,,,,,,,,,,,,,,,598287,699665,553523,1003637,860449,577233,679768,737956,2312252,578172,503223,734625
'300490,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic purposes, ...",867,569,388,821,238,1228,248,259,1010,368,1011,631,,,,,,,,,,,,,,,87166,110795,101695,113718,91569,94051,98815,104177,123199,104227,101607,104788
'540752,"Woven fabrics of yarn containing >= 85% by weight of textured polyester filaments, incl. monofilament ...",230,482,418,942,514,627,1101,495,992,535,430,561,,,,,,,,,,,,,,,11937,11667,9588,15441,13887,12149,13155,11375,13041,10585,10945,9954
'842691,Cranes designed for mounting on road vehicles,1025,0,0,0,0,0,0,0,0,0,0,479,,,,,,,,,,,,,,,1826,1118,584,1987,1464,1828,3463,2541,1849,1257,1017,1750
'283620,Disodium carbonate,1061,1579,373,352,704,786,627,308,664,462,308,474,,,,,,,,,,,,,,,70844,81510,82759,69195,75864,80905,76229,71609,78486,63140,59964,58445
'170490,"Sugar confectionery not containing cocoa, incl. white chocolate (excl. chewing gum)",211,247,344,280,240,401,279,333,0,336,16,474,,,,,,,,,,,,,,,65840,77280,56201,67930,62266,71650,76572,69469,82404,62346,63515,62809
'845090,"Parts of household or laundry-type washing machines, n.e.s.",342,215,172,406,526,216,335,294,157,280,352,396,,,,,,,,,,,,,,,5104,5528,3760,4065,4190,5371,5657,4574,4554,5101,4863,4402
'281700,Zinc oxide; zinc peroxide,716,275,364,121,169,304,451,168,230,234,238,386,,,,,,,,,,,,,,,5180,4430,6929,5467,4609,6852,6438,6606,5692,2780,7339,9365
'870899,"Parts and accessories, for tractors, motor vehicles for the transport of ten or more persons, ...",74,316,245,63,310,480,178,50,349,326,118,380,,,,,,,,,,,,,,,193358,216896,172249,206960,192843,213496,217684,197693,190471,206255,200672,195155
'300420,"Medicaments containing antibiotics, put up in measured doses ""incl. those for transdermal administration"" ...",110,156,510,607,141,213,327,243,633,88,389,374,,,,,,,,,,,,,,,8354,6685,7464,9065,10324,8454,11619,9157,13040,6772,12619,9600
'261000,Chromium ores and concentrates,0,0,0,376,0,0,0,0,0,0,0,340,,,,,,,,,,,,,,,25470,16577,20857,23501,48247,36088,26754,30110,33688,35114,26230,64315
'283526,"Phosphates of calcium (excl. calcium hydrogenorthophosphate ""dicalcium phosphate"")",0,0,36,0,0,0,0,0,0,0,0,326,,,,,,,,,,,,,,,1421,1611,4199,3328,3800,2398,7029,1391,4160,4558,2284,5799
'430219,"Tanned or dressed furskins, whole, with or without heads, tails or paws, not assembled (excl. ...",2,158,18,6,24,9,14,17,18,1,13,312,,,,,,,,,,,,,,,4722,6644,4931,5460,3764,3411,3021,3385,2555,2808,3239,4014
'190532,Waffles and wafers,14,0,0,105,118,186,319,207,207,207,207,311,,,,,,,,,,,,,,,40208,43731,35240,39841,37031,46591,51601,46680,48447,37707,40617,34424
'902110,Orthopaedic or fracture appliances,305,868,593,307,429,166,520,146,407,204,95,303,,,,,,,,,,,,,,,3878,6329,3919,6057,6767,6984,8462,6156,7695,6213,5995,5495
'520922,"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m_, in three-thread ...",21,0,20,40,49,79,12,32,12,0,37,301,,,,,,,,,,,,,,,447,464,762,1405,1374,980,1409,1608,1188,1252,1197,1648
'847180,"Units for automatic data-processing machines (excl. processing units, input or output units ...",0,0,0,0,0,0,0,0,0,0,0,290,,,,,,,,,,,,,,,2899,3724,2648,2538,1687,1419,3673,830,2281,1382,1160,2537
'350300,"Gelatin, whether or not in square or rectangular sheets, whether or not surface-worked or coloured, ...",234,0,0,362,467,0,58,0,235,0,233,277,,,,,,,,,,,,,,,9310,7609,8376,11250,6897,9251,11772,9855,11780,9140,8144,11029
'847989,"Machines and mechanical appliances, n.e.s.",582,1579,103,445,420,51,6,67,610,5,149,253,,,,,,,,,,,,,,,49602,45294,37178,55840,42282,35240,46606,41713,46272,38358,44655,50393
'850440,Static converters,110,64,111,81,117,179,104,177,173,136,121,247,,,,,,,,,,,,,,,12899,21066,23342,19563,21366,18942,17411,15543,20533,16722,20722,18666
'030314,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, ...",3874,5611,4026,4058,6649,5507,4661,3344,1797,4584,1938,244,,,,,,,,,,,,,,,19130,26233,44946,44925,38022,41556,56330,36233,45157,29706,29657,20601
'310100,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers ...",512,318,145,239,258,309,267,264,377,136,130,242,,,,,,,,,,,,,,,2751,2331,1318,1492,1407,1026,1119,593,1330,1057,1797,1938
'680710,"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch, in rolls",69,147,77,175,90,125,0,149,0,55,44,235,,,,,,,,,,,,,,,3155,2931,2349,2845,3108,2871,2892,2827,2028,1712,2849,3513
'320740,"Glass frit and other glass in the form of powder, granules or flakes",249,237,254,113,213,256,170,294,312,236,185,233,,,,,,,,,,,,,,,5714,6385,6144,6577,6069,5770,6880,6663,6018,4489,6828,6378
'271019,"Medium oils and preparations, of petroleum or bituminous minerals, not containing biodiesel, ...",62,30,62,182,43,42,8,8,0,3,0,223,,,,,,,,,,,,,,,990007,939073,1120349,1058131,906676,863859,749743,844631,844210,602416,619029,1150772
'841920,"Medical, surgical or laboratory sterilizers",24,29,214,87,54,0,26,71,219,0,0,222,,,,,,,,,,,,,,,1488,1414,1774,2075,1637,2094,2370,1692,4456,1146,1708,1216
'040410,"Whey and modified whey, whether or not concentrated or containing added sugar or other sweetening ...",605,1200,874,760,1198,310,636,642,798,485,577,206,,,,,,,,,,,,,,,5337,9481,5911,6165,7029,5475,7023,5612,6904,5415,6306,6867
