Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Is Qty Estimated,Netweight (kg),Trade Value (US$),Flag
H4,2022,2022,Annual,6,1,2,Import,704,Viet Nam,VNM,156,China,CHN,030619,Crustaceans nes live fresh chilled,8,Number of items,2500000,0,1200000,45000000,0
H4,2022,2022,Annual,6,1,2,Import,704,Viet Nam,VNM,840,USA,USA,847160,ADP input/output units,8,Number of items,850000,0,320000,180000000,0
H4,2022,2022,Annual,6,1,1,Export,704,Viet Nam,VNM,156,China,CHN,100630,Semi-milled or wholly milled rice,8,Number of items,0,1,2400000000,850000000,0
H4,2022,2022,Annual,6,1,1,Export,704,Viet Nam,VNM,392,Japan,JPN,030619,Crustaceans nes live fresh chilled,8,Number of items,0,1,95000000,320000000,0
H4,2022,2022,Annual,6,1,1,Export,704,Viet Nam,VNM,840,USA,USA,640399,Footwear nes with outer soles of rubber,8,Number of items,55000000,0,28000000,1200000000,0
H4,2021,2021,Annual,6,1,2,Import,704,Viet Nam,VNM,156,China,CHN,851712,Telephones for cellular networks,8,Number of items,25000000,0,18000000,4500000000,0
H4,2021,2021,Annual,6,1,1,Export,704,Viet Nam,VNM,156,China,CHN,851712,Telephones for cellular networks,8,Number of items,42000000,0,28000000,9200000000,0
H4,2021,2021,Annual,6,1,1,Export,704,Viet Nam,VNM,840,USA,USA,851712,Telephones for cellular networks,8,Number of items,35000000,0,22000000,8100000000,0
H4,2020,2020,Annual,6,1,2,Import,704,Viet Nam,VNM,410,Korea Rep.,KOR,270900,Petroleum oils crude,8,Number of items,0,1,8500000000,3200000000,0
H4,2020,2020,Annual,6,1,1,Export,704,Viet Nam,VNM,392,Japan,JPN,090111,Coffee not roasted not decaffeinated,8,Number of items,0,1,320000000,650000000,0
H4,2019,2019,Annual,6,1,2,Import,704,Viet Nam,VNM,276,Germany,DEU,847160,ADP input/output units,8,Number of items,420000,0,180000,95000000,0
H4,2019,2019,Annual,6,1,1,Export,704,Viet Nam,VNM,702,Singapore,SGP,440710,Coniferous wood sawn or chipped,8,Number of items,0,1,450000000,120000000,0
H4,2018,2018,Annual,6,1,2,Import,704,Viet Nam,VNM,764,Thailand,THA,100630,Semi-milled or wholly milled rice,8,Number of items,0,1,180000000,65000000,0
H4,2018,2018,Annual,6,1,1,Export,704,Viet Nam,VNM,036,Australia,AUS,030619,Crustaceans nes live fresh chilled,8,Number of items,0,1,42000000,95000000,0
